Descriptores,1993|T1,1993|T2,1993|T3,1993|T4,1993|6 Meses,1993|9 Meses,1993|Anual,1994|T1,1994|T2,1994|T3,1994|T4,1994|6 Meses,1994|9 Meses,1994|Anual,1995|T1,1995|T2,1995|T3,1995|T4,1995|6 Meses,1995|9 Meses,1995|Anual,1996|T1,1996|T2,1996|T3,1996|T4,1996|6 Meses,1996|9 Meses,1996|Anual,1997|T1,1997|T2,1997|T3,1997|T4,1997|6 Meses,1997|9 Meses,1997|Anual,1998|T1,1998|T2,1998|T3,1998|T4,1998|6 Meses,1998|9 Meses,1998|Anual,1999|T1,1999|T2,1999|T3,1999|T4,1999|6 Meses,1999|9 Meses,1999|Anual,2000|T1,2000|T2,2000|T3,2000|T4,2000|6 Meses,2000|9 Meses,2000|Anual,2001|T1,2001|T2,2001|T3,2001|T4,2001|6 Meses,2001|9 Meses,2001|Anual,2002|T1,2002|T2,2002|T3,2002|T4,2002|6 Meses,2002|9 Meses,2002|Anual,2003|T1,2003|T2,2003|T3,2003|T4,2003|6 Meses,2003|9 Meses,2003|Anual,2004|T1,2004|T2,2004|T3,2004|T4,2004|6 Meses,2004|9 Meses,2004|Anual,2005|T1,2005|T2,2005|T3,2005|T4,2005|6 Meses,2005|9 Meses,2005|Anual,2006|T1,2006|T2,2006|T3,2006|T4,2006|6 Meses,2006|9 Meses,2006|Anual,2007|T1,2007|T2,2007|T3,2007|T4,2007|6 Meses,2007|9 Meses,2007|Anual,2008|T1,2008|T2,2008|T3,2008|T4,2008|6 Meses,2008|9 Meses,2008|Anual,2009|T1,2009|T2,2009|T3,2009|T4,2009|6 Meses,2009|9 Meses,2009|Anual,2010|T1,2010|T2,2010|T3,2010|T4,2010|6 Meses,2010|9 Meses,2010|Anual,2011|T1,2011|T2,2011|T3,2011|T4,2011|6 Meses,2011|9 Meses,2011|Anual,2012|T1,2012|T2,2012|T3,2012|T4,2012|6 Meses,2012|9 Meses,2012|Anual,2013|T1,2013|T2,2013|T3,2013|T4,2013|6 Meses,2013|9 Meses,2013|Anual,2014|T1,2014|T2,2014|T3,2014|T4,2014|6 Meses,2014|9 Meses,2014|Anual,2015|T1,2015|T2,2015|T3,2015|T4,2015|6 Meses,2015|9 Meses,2015|Anual,2016|T1,2016|T2,2016|T3,2016|T4,2016|6 Meses,2016|9 Meses,2016|Anual,2017|T1,2017|T2,2017|T3,2017|T4,2017|6 Meses,2017|9 Meses,2017|Anual,2018|T1,2018|T2,2018|T3,2018|T4,2018|6 Meses,2018|9 Meses,2018|Anual,2019|T1,2019|T2,2019|T3,2019|T4,2019|6 Meses,2019|9 Meses,2019|Anual,2020|T1<P>,2020|T2<P>,2020|T3<P>,2020|T4<P>,2020|6 Meses<P>,2020|9 Meses<P>,2020|Anual<P>,2021|T1<P>,2021|T2<P>,2021|T3<P>,2021|T4<P>,2021|6 Meses<P>,2021|9 Meses<P>,2021|Anual<P>,2022|T1<R>,2022|T2<P>,2022|T3,2022|T4,2022|6 Meses,2022|9 Meses,2022|Anual
B.1bP---Producto interno bruto<C1>,1502180.505,1553803.154,1553768.129,1630621.357,1527991.829,1536583.929,1560093.286,1669869.542,1779779.963,1779633.317,1896407.018,1724824.752,1743094.274,1781422.46,2008487.333,2246584.337,2357628.048,2633134.093,2127535.835,2204233.24,2311458.453,2854790.905,3026075.708,3137331.89,3474473.254,2940433.306,3006066.168,3123167.939,3593692.408,3902792.76,4000911.027,4352700.469,3748242.584,3832465.398,3962524.166,4513431.539,4726991.275,4869907.654,5130163.348,4620211.407,4703443.489,4810123.454,5362992.051,5652894.89,5846010.145,6091968.39,5507943.47,5620632.362,5738466.369,6412026.645,6660435.498,6803749.933,6898519.98,6536231.072,6625404.025,6693683.014,6972344.267,7097269.262,7098960.815,7108934.743,7034806.765,7056191.448,7069377.272,6989364.68,7583211.731,7550711.178,7698549.192,7286288.205,7374429.196,7455459.195,7745442.949,7880575.203,7771536.577,8077683.483,7813009.076,7799184.91,7868809.553,8346933.673,8882220.55,8844033.034,9240282.48,8614577.111,8691062.419,8828367.434,9061147.405,9643592.448,9574366.613,9971485.986,9352369.927,9426368.822,9562648.113,10100429.493,10757668.333,10703482.015,10962177.864,10429048.913,10520526.614,10630939.426,10923991.182,11486480.414,11518669.91,12087160.543,11205235.798,11309713.835,11504075.512,11782115.936,12721061.209,12484778.764,12427425.215,12251588.572,12329318.636,12353845.281,11655054.575,11942362.94,12197786.18,12855847.689,11798708.757,11931734.565,12162762.846,12783183.286,13282295.904,13346023.88,14054005.615,13032739.595,13137167.69,13366377.171,13909575.375,14375875.806,14641732.86,15735121.847,14142725.59,14309061.347,14665576.472,15412890.287,15711134.638,15770745.458,16376247.953,15562012.462,15631590.128,15817754.584,15768214.893,16198351.314,16203580.565,16938601.541,15983283.103,16056715.59,16277187.078,16770232.04,17427742.323,17460954.315,18278293.75,17098987.182,17219642.893,17484305.607,17779727.556,18501637.724,18690042.318,19317030.061,18140682.64,18323802.533,18572109.415,18973178.9,19985138.752,20162895.134,21395016.697,19479158.826,19707070.929,20129057.371,21323240.152,21808275.882,21725414.669,22879739.585,21565758.017,21618976.901,21934167.572,22674465.909,23651787.267,23391884.375,24379423.181,23163126.588,23239379.184,23524390.183,23944429.081,24388406.649,24382570.23,25067534.377,24166417.865,24238468.653,24445735.084,24699548.264,20196990.458,23486675.991,25279130.103,22448269.361,22794404.904,23415586.204,25131928.211,26275655.441,26133175.437,27553391.857,25703791.826,25846919.697,26273537.737,27637115.213,29236541.855,,,28436828.534,,
"D.21-D.31---Impuestos sobre los productos, netos",68635.191,68168.205,65257.342,72201.25,68401.698,67353.579,68565.497,82505.449,83023.548,83222.532,91709.335,82764.498,82917.176,85115.216,76575.667,88832.223,95182.852,123104.434,82703.945,86863.581,95923.794,117866.365,112757.641,125288.257,144326.257,115312.003,118637.421,125059.63,154594.088,161426.905,179395.45,216482.065,158010.496,165138.814,177974.627,216750.459,230184.245,243694.459,273794.025,223467.352,230209.721,241105.797,286011.091,292086.225,296104.468,315873.556,289048.658,291400.595,297518.835,313794.151,305104.025,314983.007,315124.869,309449.088,311293.728,312251.513,348065.196,331327.458,347607.516,384991.362,339696.327,342333.39,352997.883,375261.624,390805.136,378376.895,396197.905,383033.38,381481.218,385160.39,402303.469,383426.133,396684.977,390417.206,392864.801,394138.193,393207.946,408443.37,397946.383,370311.567,384693.716,403194.877,392233.774,390348.759,405801.618,389456.277,386546.709,400896.539,397628.948,393934.868,395675.286,422196.465,406173.045,379239.331,392406.708,414184.755,402536.28,400003.887,466098.805,430846.175,415608.024,435057.369,448472.49,437517.668,436902.593,355158.8,302147.713,268088.159,340189.259,328653.257,308464.891,316395.983,555699.3,499380.758,489821.221,470507.62,527540.029,514967.093,503852.225,551733.35,488811.36,551545.412,576533.786,520272.355,530696.708,542155.977,570185.326,423245.103,455754.911,570129.164,496715.214,483061.78,504828.626,474685.695,404331.325,551947.37,500295.15,439508.51,476988.13,482814.885,670161.826,514455.52,671421.109,682230.477,592308.673,618679.485,634567.233,890371.829,847501.003,902466.595,977040.982,868936.416,880113.142,904345.102,1086881.226,1035216.662,1093281.455,1077001.277,1061048.944,1071793.114,1073095.155,1201011.569,1254327.721,1344682.539,1233446.091,1227669.645,1266673.943,1258366.98,1185175.091,1226427.893,1345917.567,1090894.953,1205801.492,1252506.85,1212103.876,1393982.161,1319252.118,1266790.878,1232775.735,1356617.14,1326675.052,1303200.223,1502602.159,1398483.359,1432389.581,1385333.588,1450542.759,1444491.7,1429702.172,1706373.514,1150980.638,1496269.398,1533927.574,1428677.076,1451207.85,1471887.781,1644618.818,1470686.575,1593968.929,1409349.415,1557652.697,1569758.108,1529655.934,1485934.105,1340256.939,,,1413095.522,,
B.1bV---Valor agregado bruto<C1>,1433545.313,1485634.949,1488510.787,1558420.106,1459590.131,1469230.35,1491527.789,1587364.093,1696756.415,1696410.785,1804697.683,1642060.254,1660177.098,1696307.244,1931911.666,2157752.114,2262445.196,2510029.66,2044831.89,2117369.659,2215534.659,2736924.54,2913318.067,3012043.632,3330146.997,2825121.303,2887428.746,2998108.309,3439098.32,3741365.856,3821515.576,4136218.404,3590232.088,3667326.584,3784549.539,4296681.08,4496807.03,4626213.195,4856369.323,4396744.055,4473233.768,4569017.657,5076980.961,5360808.665,5549905.677,5776094.834,5218894.813,5329231.767,5440947.534,6098232.494,6355331.473,6488766.926,6583395.111,6226781.984,6314110.298,6381431.501,6624279.071,6765941.804,6751353.3,6723943.381,6695110.438,6713858.058,6716379.389,6614103.056,7192406.594,7172334.283,7302351.287,6903254.825,6992947.978,7070298.805,7343139.48,7497149.07,7374851.6,7687266.277,7420144.275,7405046.717,7475601.607,7938490.303,8484274.167,8473721.467,8855588.764,8211382.235,8298828.645,8438018.675,8655345.787,9254136.17,9187819.904,9570589.447,8954740.979,9032433.954,9166972.827,9678233.028,10351495.288,10324242.684,10569771.156,10014864.158,10117990.333,10230935.539,10457892.377,11055634.238,11103061.886,11652103.175,10756763.308,10872196.167,11067172.919,11426957.136,12418913.495,12216690.605,12087235.956,11922935.316,12020853.745,12037449.298,11099355.275,11442982.182,11707964.959,12385340.069,11271168.728,11416767.472,11658910.621,12231449.936,12793484.544,12794478.468,13477471.829,12512467.24,12606470.982,12824221.194,13339390.049,13952630.702,14185977.949,15164992.684,13646010.376,13825999.567,14160747.846,14938204.592,15306803.313,15218798.089,15875952.803,15122503.952,15154601.998,15334939.699,15098053.067,15683895.794,15532159.456,16256371.064,15390974.43,15438036.105,15642619.845,15879860.211,16580241.32,16558487.72,17301252.768,16230050.766,16339529.751,16579960.505,16692846.33,17466421.063,17596760.863,18240028.784,17079633.696,17252009.419,17499014.26,17772167.331,18730811.031,18818212.595,20161570.607,18251489.181,18440396.986,18870690.391,20138065.061,20581847.989,20379497.102,21788844.633,20359956.525,20366470.05,20722063.696,21280483.748,22332535.149,22125093.497,23146647.447,21806509.448,21912704.131,22221189.96,22441826.922,22989923.289,22950180.648,23682200.789,22715875.106,22793976.953,23016032.912,22993174.751,19046009.82,21990406.592,23745202.529,21019592.286,21343197.054,21943698.423,23487309.393,24804968.866,24539206.508,26144042.442,24146139.13,24277161.589,24743881.802,26151181.108,27896284.916,,,27023733.012,,
Actividades primarias,76185.057,77963.609,75552.257,88589.301,77074.333,76566.974,79572.556,77350.774,86488.819,72653.355,92490.216,81919.797,78830.983,82245.791,82520.506,94651.48,99971.05,131973.155,88585.993,92381.012,102279.048,132631.149,147249.742,144030.394,184290.347,139940.446,141303.762,152050.408,166558.034,176405.68,159930.296,202480.742,171481.857,167631.337,176343.688,189194.701,192862.06,190185.715,227912.356,191028.381,190747.492,200038.708,233873.982,199781.383,187112.882,224178.849,216827.682,206922.749,211236.774,218584.64,221002.974,194262.979,255896.863,219793.807,211283.531,222436.864,222553.686,244080.003,216801.137,278923.842,233316.844,227811.609,240589.667,230606.627,244610.312,220319.058,282107.867,237608.47,231845.332,244410.966,254489.109,269003.194,237715.102,305012.039,261746.151,253735.802,266554.861,295352.957,287359.507,251298.559,345172.981,291356.232,278003.674,294796.001,284869.639,293722.567,274434.191,322492.411,289296.103,284342.132,293879.702,309131.33,325415.185,273867.477,399542.744,317273.257,302804.664,326989.184,348666.329,369724.312,311130.914,434585.893,359195.321,343173.852,366026.862,357604.906,407660.703,317855.589,478591.99,382632.804,361040.399,390428.297,379720.252,422394.19,325125.434,449781.103,401057.221,375746.626,394255.245,380034.011,464723.445,369145.836,507234.025,422378.728,404634.43,430284.329,417806.233,450137.361,403789.676,540029.494,433971.797,423911.09,452940.691,454972.844,523370.143,425948.487,603883.174,489171.493,468097.158,502043.662,463212.936,557514.594,416652.206,606243.04,510363.765,479126.579,510905.694,489592.111,575207.556,472810.359,652886.305,532399.834,512536.676,547624.083,550557.893,618471.973,498695.645,703504.704,584514.933,555908.504,592807.554,598603.499,702691.255,569765.467,823386.751,650647.377,623686.74,673611.743,661422.254,775828.793,621590.585,907600.012,718625.524,686280.544,741610.411,755873.603,818581.079,638425.26,971193.678,787227.341,737626.647,796018.405,794077.69,857762.689,689395.171,974803.538,825920.19,780411.85,829009.772,824727.289,889029.901,774243.663,1059399.055,856878.595,829333.618,886849.977,860161.89,1021317.694,845194.905,1276197.337,940739.792,908891.496,1000717.956,1020647.487,1193261.251,,,1106954.369,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",76185.057,77963.609,75552.257,88589.301,77074.333,76566.974,79572.556,77350.774,86488.819,72653.355,92490.216,81919.797,78830.983,82245.791,82520.506,94651.48,99971.05,131973.155,88585.993,92381.012,102279.048,132631.149,147249.742,144030.394,184290.347,139940.446,141303.762,152050.408,166558.034,176405.68,159930.296,202480.742,171481.857,167631.337,176343.688,189194.701,192862.06,190185.715,227912.356,191028.381,190747.492,200038.708,233873.982,199781.383,187112.882,224178.849,216827.682,206922.749,211236.774,218584.64,221002.974,194262.979,255896.863,219793.807,211283.531,222436.864,222553.686,244080.003,216801.137,278923.842,233316.844,227811.609,240589.667,230606.627,244610.312,220319.058,282107.867,237608.47,231845.332,244410.966,254489.109,269003.194,237715.102,305012.039,261746.151,253735.802,266554.861,295352.957,287359.507,251298.559,345172.981,291356.232,278003.674,294796.001,284869.639,293722.567,274434.191,322492.411,289296.103,284342.132,293879.702,309131.33,325415.185,273867.477,399542.744,317273.257,302804.664,326989.184,348666.329,369724.312,311130.914,434585.893,359195.321,343173.852,366026.862,357604.906,407660.703,317855.589,478591.99,382632.804,361040.399,390428.297,379720.252,422394.19,325125.434,449781.103,401057.221,375746.626,394255.245,380034.011,464723.445,369145.836,507234.025,422378.728,404634.43,430284.329,417806.233,450137.361,403789.676,540029.494,433971.797,423911.09,452940.691,454972.844,523370.143,425948.487,603883.174,489171.493,468097.158,502043.662,463212.936,557514.594,416652.206,606243.04,510363.765,479126.579,510905.694,489592.111,575207.556,472810.359,652886.305,532399.834,512536.676,547624.083,550557.893,618471.973,498695.645,703504.704,584514.933,555908.504,592807.554,598603.499,702691.255,569765.467,823386.751,650647.377,623686.74,673611.743,661422.254,775828.793,621590.585,907600.012,718625.524,686280.544,741610.411,755873.603,818581.079,638425.26,971193.678,787227.341,737626.647,796018.405,794077.69,857762.689,689395.171,974803.538,825920.19,780411.85,829009.772,824727.289,889029.901,774243.663,1059399.055,856878.595,829333.618,886849.977,860161.89,1021317.694,845194.905,1276197.337,940739.792,908891.496,1000717.956,1020647.487,1193261.251,,,1106954.369,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura",48324.09,47561.456,41617.033,56016.133,47942.773,45834.193,48379.678,48372.635,54602.431,37237.985,57503.329,51487.533,46737.684,49429.095,49408.924,54288.255,54245.794,79072.471,51848.59,52647.658,59253.861,77233.219,86175.336,78157.311,109941.898,81704.278,80521.955,87876.941,98233.187,102257.804,77982.331,115732.042,100245.496,92824.441,98551.341,114288.748,113090.82,100251.267,134174.489,113689.784,109210.278,115451.331,149616.923,115535.841,94162.919,126230.058,132576.382,119771.894,121386.435,124795.307,124699.322,90283.12,143342.512,124747.314,113259.249,120780.065,123605.36,137960.301,105026.449,162539.474,130782.83,122197.37,132282.896,132817.774,139634.969,107244.827,164307.011,136226.371,126565.856,136001.145,143063.194,153869.273,117569.873,178813.831,148466.234,138167.447,148329.043,177720.283,167569.079,118988.119,201239.544,172644.681,154759.16,166379.256,156643.513,159292.555,132308.794,177596.198,157968.034,149414.954,156460.265,173832.131,187758.728,134389.703,247027.073,180795.43,165326.854,185751.909,209509.267,228222.574,167424.185,282826.986,218865.921,201718.675,221995.753,222668.306,261145.912,172433.194,317278.697,241907.109,218749.137,243381.527,230764.476,272696.935,174443.314,295364.586,251730.706,225968.242,243317.328,232068.143,306634.022,203953.161,337469.818,269351.083,247551.775,270031.286,270132.624,291251.487,235004.148,357936.368,280692.056,265462.753,288581.157,291408.339,348920.285,236278.298,398219.627,320164.312,292202.307,318706.637,278766.309,351064.849,225694.713,398797.661,314915.579,285175.29,313580.883,290119.764,352451.083,245442.643,412269.902,321285.424,296004.497,325070.848,315420.508,378378.025,257096,449102.251,346899.266,316964.844,349999.196,369896.239,446295.193,315424.042,547691.918,408095.716,377205.158,419826.848,422507.021,509867.083,351775.352,616513.224,466187.052,428049.819,475165.67,481539.748,531613.309,356861.18,655340.191,506576.529,456671.412,506338.607,527396.124,551034.652,383065.631,648546.785,539215.388,487165.469,527510.798,536458.435,583548.806,448651.171,711988.911,560003.621,522886.138,570161.831,549795.767,682995.342,488032.064,895017.024,616395.555,573607.724,653960.049,669132.707,799875.364,,,734504.036,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales",20614.659,22803.553,26802.122,25288.55,21709.106,23406.778,23877.221,21721.188,24055.878,27917.125,26343.761,22888.533,24564.73,25009.488,24816.798,31276.498,35191.29,40669.085,28046.648,30428.196,32988.418,42539.001,48478.212,52188.004,59980.443,45508.606,47735.072,50796.415,54605.463,59062.11,65926.498,68161.153,56833.786,59864.69,61938.806,59217.178,62508.913,70643.382,72154.475,60863.045,64123.158,66130.987,64303.676,64658.904,71208.761,75551.431,64481.29,66723.78,68930.693,70930.153,74388.936,79398.836,84869.799,72659.544,74905.975,77396.931,75432.421,81334.455,85781.384,87453.84,78383.438,80849.42,82500.525,75841.046,79208.657,87545.41,89850.567,77524.851,80865.038,83111.42,83407.897,88044.037,92712.391,96188.263,85725.967,88054.775,90088.147,93933.401,95149.377,105475.448,111822.422,94541.389,98186.075,101595.162,104342.591,108304.371,113828.251,112736.727,106323.481,108825.071,109802.985,109184.469,110021.529,111393.048,120420.442,109602.999,110199.682,112754.872,107415.338,112244.486,115870.461,115999.979,109829.912,111843.428,112882.566,108015.047,115462.979,118736.376,128152.614,111739.013,114071.467,117591.754,119138.596,121708.346,124593.114,125490.224,120423.471,121813.352,122732.57,120559.268,127684.509,138940.459,136839.42,124121.888,129061.412,131005.914,123559.179,129143.195,140071.641,146587.973,126351.187,130924.672,134840.497,138308.122,143301.897,160759.258,171234.832,140805.009,147456.425,153401.027,157943.383,175846.524,161687.127,171473.662,166894.953,165159.011,166737.674,168855.856,189883.827,196273.335,202954.969,179369.842,185004.34,189491.997,198472.226,205483.955,206324.002,210888.781,201978.09,203426.728,205292.241,194515.783,216692.249,213265.796,225427.059,205604.016,208157.943,212475.222,199309.42,223080.009,225897.778,235918.333,211194.714,216095.736,221051.385,232755.604,239409.681,234286.236,257689.514,236082.643,235483.841,241035.259,224954.842,259951.926,258589.689,269269.748,242453.384,247832.152,253191.551,241022.389,263094.33,279472.094,290931.674,252058.36,261196.271,268630.122,261155.257,284899.4,303916.815,320486.757,273027.328,283323.824,292614.557,295449.595,334445.512,,,314947.553,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113---Aprovechamiento forestal",4663.52,4514.66,4516.495,4463.177,4589.09,4564.892,4539.463,4471.455,4658.149,4644.679,5101.161,4564.802,4591.428,4718.861,4551.046,5015.608,5505.219,6554.891,4783.327,5023.958,5406.691,7439.248,6999.219,7676.978,7988.632,7219.233,7371.815,7526.019,8259.577,8569.913,8992.306,10774.411,8414.745,8607.266,9149.052,10149.491,10443.116,11917.321,12954.381,10296.303,10836.642,11366.077,12939.799,12703.207,13205.203,13152.335,12821.503,12949.403,13000.136,15503.338,14531.485,15250.678,17017.159,15017.411,15095.167,15575.665,16088.341,16624.712,16306.439,17473.831,16356.527,16339.831,16623.331,14837.784,16787.138,16136.878,16202.82,15812.461,15920.6,15991.155,18663.904,16489.475,15121.483,17068.083,17576.689,16758.287,16835.736,15822.837,15560.688,15903.669,18585.238,15691.763,15762.398,16468.108,15043.69,15939.187,16339.82,19854.219,15491.439,15774.232,16794.229,17180.394,18060.248,16196.123,18357.402,17620.321,17145.589,17448.542,21077.598,18995.943,15908.384,20953.546,20036.771,18660.642,19233.868,18228.073,20136.781,16408.37,18873.888,19182.427,18257.741,18411.778,19290.671,17622.48,15631.574,15713.636,18456.575,17514.908,17064.59,15471.737,18410.093,16338.898,19407.209,16940.915,16740.242,17406.984,15644.07,19019.286,16773.619,19262.157,17331.678,17145.658,17674.783,15908.911,19345.888,17084.843,18996.218,17627.4,17446.547,17833.965,16375.404,18445.791,16410.708,18638.429,17410.598,17077.301,17467.583,16943.51,18917.434,17566.304,18597.024,17930.472,17809.083,18006.068,18457.652,19688.081,18241.265,19838.71,19072.866,18795.666,19056.427,18441.507,20733.435,20502.491,23029.583,19587.471,19892.478,20676.754,21966.69,23886.293,22720.704,23532.118,22926.491,22857.895,23026.451,22199.797,23640.538,22853.138,25109.902,22920.168,22897.825,23450.844,23408.815,24477.18,23484.949,24834.168,23942.997,23790.315,24051.278,24690.824,20857.306,24053.786,27006.276,22774.065,23200.639,24152.048,24765.632,27536.384,25548.332,27706.087,26151.008,25950.116,26389.109,27214.07,30470.111,,,28842.09,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura",2477.614,2998.281,2517.281,2697.091,2737.948,2664.392,2672.567,2634.809,3069.931,2705.179,3336.798,2852.37,2803.306,2936.679,3576.804,3958.395,4556.307,5109.437,3767.6,4030.502,4300.236,5165.121,5370.018,5421.914,5848.007,5267.569,5319.018,5451.265,5180.907,6330.366,6517.095,6865.232,5755.637,6009.456,6223.4,5212.964,6593.037,6609.8,8081.271,5903.001,6138.6,6624.268,6598.073,6639.736,8089.315,8827,6618.904,7109.041,7538.531,7040.951,7151.033,8964.158,10207.73,7095.992,7718.714,8340.968,7103.5,7919.289,9302.127,11010.136,7511.394,8108.305,8833.763,6811.28,8714.856,9134.481,11329.88,7763.068,8220.205,8997.624,8408.57,9740.609,11422.23,11646.282,9074.59,9857.137,10304.423,6978.728,8225.513,9778.425,11943.811,7602.12,8327.555,9231.619,7913.72,9298.114,10767.507,10695.431,8605.917,9326.447,9668.693,7744.274,8576.869,10716.839,12048.45,8160.571,9012.661,9771.608,9414.54,9187.676,10843.596,12886.531,9301.108,9815.271,10583.086,7630.851,9775.114,9273.062,12224.284,8702.983,8893.009,9725.828,9350.799,9357.418,9425.219,11634.208,9354.109,9377.812,9941.911,10694.192,10859.544,8842.681,11332.871,10776.868,10132.139,10432.322,7145.452,9588.289,10681.947,13102.924,8366.871,9138.563,10129.653,8125.029,10587.128,10405.693,12268.898,9356.079,9705.95,10346.687,8620.741,10810.867,11636.412,14657,9715.804,10356.007,11431.255,11466.142,12609.319,12270.37,15770.597,12037.73,12115.277,13029.107,16016.654,13628.432,15852.835,21032.951,14822.543,15165.974,16632.718,14495.737,17443.863,19158.236,23540.54,15969.8,17032.612,18659.594,16128.012,17312.284,19506.326,25242.391,16720.148,17648.874,19547.253,17390.982,22172.14,22766.4,25917.118,19781.561,20776.507,22061.66,16255.227,20515.148,22405.871,26246.422,18385.187,19725.415,21355.667,20140.909,19848.205,20485.41,24258.164,19994.557,20158.175,21183.172,22570.997,23803.715,25846.653,28494.187,23187.356,24073.788,25178.888,25969.757,26205.86,,,26087.808,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|115---Servicios relacionados con las actividades agropecuarias y forestales",105.174,85.659,99.326,124.349,95.417,96.72,103.627,150.687,102.431,148.387,205.168,126.559,133.835,151.668,166.934,112.723,472.44,567.271,139.829,250.699,329.842,254.56,226.958,586.187,531.367,240.759,355.902,399.768,278.9,185.486,512.065,947.905,232.193,325.484,481.089,326.321,226.173,763.946,547.739,276.247,438.814,466.045,415.511,243.695,446.685,418.025,329.603,368.63,380.979,314.892,232.198,366.187,459.663,273.545,304.426,343.235,324.065,241.246,384.738,446.56,282.655,316.683,349.152,298.743,264.693,257.461,417.59,281.718,273.633,309.622,945.544,859.8,889.125,1295.579,902.672,898.156,997.512,897.709,854.849,1152.898,1581.968,876.279,968.485,1121.856,926.124,888.341,1189.819,1609.837,907.232,1001.428,1153.53,1190.061,997.81,1171.764,1689.376,1093.936,1119.879,1262.253,1249.586,1073.631,1084.288,1918.85,1161.609,1135.835,1331.589,1062.63,1139.916,1004.587,2062.507,1101.273,1069.044,1317.41,1175.711,1009.011,1032.213,1578.449,1092.361,1072.312,1198.846,1240.671,1135.276,1070.637,2184.707,1187.974,1148.862,1407.823,1324.908,1135.104,1258.321,3140.071,1230.006,1239.444,1714.601,1222.442,1214.946,1420.396,3163.6,1218.694,1285.928,1755.346,1507.099,1346.563,1223.246,2676.288,1426.831,1358.969,1688.299,2206.838,1345.893,1257.708,3293.813,1776.366,1603.48,2026.063,2190.853,1293.481,1181.543,2642.011,1742.167,1555.292,1826.972,1254.232,1526.515,1414.903,3697.651,1390.373,1398.55,1973.325,1511.112,1683.125,1690.426,6393.946,1597.118,1628.221,2819.652,1987.472,1745.41,1658.305,7136.952,1866.441,1797.063,3132.035,2062.682,1783.784,1849.031,5906.415,1923.233,1898.499,2900.478,2414.73,1681.253,1581.202,5214.03,2047.992,1892.395,2722.804,1874.236,2082.853,1851.041,4493.281,1978.545,1936.043,2575.353,2881.358,2264.405,,,2572.882,,
