Descriptores,1993|T1,1993|T2,1993|T3,1993|T4,1993|6 Meses,1993|9 Meses,1993|Anual,1994|T1,1994|T2,1994|T3,1994|T4,1994|6 Meses,1994|9 Meses,1994|Anual,1995|T1,1995|T2,1995|T3,1995|T4,1995|6 Meses,1995|9 Meses,1995|Anual,1996|T1,1996|T2,1996|T3,1996|T4,1996|6 Meses,1996|9 Meses,1996|Anual,1997|T1,1997|T2,1997|T3,1997|T4,1997|6 Meses,1997|9 Meses,1997|Anual,1998|T1,1998|T2,1998|T3,1998|T4,1998|6 Meses,1998|9 Meses,1998|Anual,1999|T1,1999|T2,1999|T3,1999|T4,1999|6 Meses,1999|9 Meses,1999|Anual,2000|T1,2000|T2,2000|T3,2000|T4,2000|6 Meses,2000|9 Meses,2000|Anual,2001|T1,2001|T2,2001|T3,2001|T4,2001|6 Meses,2001|9 Meses,2001|Anual,2002|T1,2002|T2,2002|T3,2002|T4,2002|6 Meses,2002|9 Meses,2002|Anual,2003|T1,2003|T2,2003|T3,2003|T4,2003|6 Meses,2003|9 Meses,2003|Anual,2004|T1,2004|T2,2004|T3,2004|T4,2004|6 Meses,2004|9 Meses,2004|Anual,2005|T1,2005|T2,2005|T3,2005|T4,2005|6 Meses,2005|9 Meses,2005|Anual,2006|T1,2006|T2,2006|T3,2006|T4,2006|6 Meses,2006|9 Meses,2006|Anual,2007|T1,2007|T2,2007|T3,2007|T4,2007|6 Meses,2007|9 Meses,2007|Anual,2008|T1,2008|T2,2008|T3,2008|T4,2008|6 Meses,2008|9 Meses,2008|Anual,2009|T1,2009|T2,2009|T3,2009|T4,2009|6 Meses,2009|9 Meses,2009|Anual,2010|T1,2010|T2,2010|T3,2010|T4,2010|6 Meses,2010|9 Meses,2010|Anual,2011|T1,2011|T2,2011|T3,2011|T4,2011|6 Meses,2011|9 Meses,2011|Anual,2012|T1,2012|T2,2012|T3,2012|T4,2012|6 Meses,2012|9 Meses,2012|Anual,2013|T1,2013|T2,2013|T3,2013|T4,2013|6 Meses,2013|9 Meses,2013|Anual,2014|T1,2014|T2,2014|T3,2014|T4,2014|6 Meses,2014|9 Meses,2014|Anual,2015|T1,2015|T2,2015|T3,2015|T4,2015|6 Meses,2015|9 Meses,2015|Anual,2016|T1,2016|T2,2016|T3,2016|T4,2016|6 Meses,2016|9 Meses,2016|Anual,2017|T1,2017|T2,2017|T3,2017|T4,2017|6 Meses,2017|9 Meses,2017|Anual,2018|T1,2018|T2,2018|T3,2018|T4,2018|6 Meses,2018|9 Meses,2018|Anual,2019|T1,2019|T2,2019|T3,2019|T4,2019|6 Meses,2019|9 Meses,2019|Anual,2020|T1<P>,2020|T2<P>,2020|T3<P>,2020|T4<P>,2020|6 Meses<P>,2020|9 Meses<P>,2020|Anual<P>,2021|T1<P>,2021|T2<P>,2021|T3<P>,2021|T4<P>,2021|6 Meses<P>,2021|9 Meses<P>,2021|Anual<P>,2022|T1<R>,2022|T2<P>,2022|T3,2022|T4,2022|6 Meses,2022|9 Meses,2022|Anual
B.1bP---Producto interno bruto<C1>,NA,NA,NA,NA,NA,NA,NA,11.163,14.543,14.537,16.3,12.882,13.44,14.187,20.278,26.228,32.478,38.849,23.348,26.455,29.754,42.136,34.697,33.072,31.952,38.208,36.377,35.117,25.883,28.972,27.526,25.277,27.472,27.491,26.875,25.593,21.118,21.72,17.862,23.263,22.726,21.39,18.823,19.588,20.044,18.748,19.214,19.5,19.3,19.561,17.823,16.383,13.24,18.669,17.876,16.646,8.739,6.559,4.339,3.05,7.628,6.502,5.613,0.244,6.847,6.364,8.294,3.575,4.51,5.461,10.818,3.921,2.925,4.925,7.229,5.76,5.544,7.766,12.71,13.8,14.393,10.259,11.436,12.194,8.557,8.572,8.258,7.913,8.564,8.46,8.317,11.47,11.552,11.793,9.935,11.512,11.607,11.172,8.154,6.775,7.616,10.262,7.443,7.501,8.213,7.855,10.748,8.387,2.815,9.338,9.015,7.387,-1.078,-6.121,-2.299,3.447,-3.696,-3.225,-1.547,9.679,11.22,9.413,9.32,10.459,10.103,9.896,8.812,8.233,9.709,11.962,8.517,8.92,9.72,10.808,9.288,7.711,4.074,10.035,9.243,7.856,2.305,3.101,2.745,3.434,2.707,2.72,2.905,6.355,7.59,7.76,7.909,6.98,7.243,7.416,6.02,6.162,7.039,5.683,6.092,6.412,6.222,6.712,8.018,7.88,10.757,7.378,7.549,8.383,12.386,9.122,7.749,6.94,10.712,9.702,8.968,6.337,8.453,7.671,6.555,7.407,7.495,7.25,5.601,3.114,4.235,2.823,4.331,4.299,3.917,3.154,-17.186,-3.674,0.844,-7.11,-5.958,-4.214,1.751,30.097,11.268,8.997,14.502,13.392,12.205,9.968,11.269,,,10.633,,
"D.21-D.31---Impuestos sobre los productos, netos",NA,NA,NA,NA,NA,NA,NA,20.209,21.792,27.53,27.019,20.998,23.107,24.137,-7.187,6.996,14.371,34.233,-0.073,4.759,12.699,53.921,26.933,31.629,17.239,39.427,36.579,30.374,31.16,43.163,43.186,49.995,37.029,39.196,42.312,40.206,42.593,35.842,26.474,41.426,39.404,35.472,31.954,26.892,21.506,15.369,29.347,26.58,23.398,9.714,4.457,6.376,-0.237,7.058,6.827,4.952,10.922,8.595,10.358,22.171,9.775,9.971,13.049,7.814,17.951,8.852,2.911,12.758,11.436,9.111,7.206,-1.888,4.839,-1.459,2.567,3.318,2.089,1.526,3.787,-6.648,-1.466,2.629,-0.483,-0.727,-0.647,-2.133,4.384,4.212,-1.38,0.434,1.365,4.04,4.292,-1.89,-2.118,4.164,2.183,1.094,10.399,6.075,9.59,10.869,8.278,8.69,9.225,-23.802,-29.871,-35.495,-21.806,-26.717,-29.497,-27.582,56.465,65.277,82.709,38.308,60.516,66.945,59.247,-0.714,-2.117,12.601,22.534,-1.378,3.054,7.602,3.344,-13.413,-17.368,-1.111,-4.528,-8.976,-6.885,-16.749,-4.469,21.106,-12.249,-11.517,-1.257,-4.361,41.18,27.236,21.646,36.366,34.766,29.705,31.431,32.859,64.737,34.411,43.213,46.703,42.257,42.514,22.07,22.149,21.144,10.231,22.109,21.779,18.66,10.501,21.166,22.995,14.526,15.703,18.183,17.265,-1.319,-2.224,0.092,-11.557,-1.781,-1.118,-3.676,17.618,7.569,-5.879,13.006,12.508,5.922,7.516,7.792,6.006,13.072,12.375,6.924,8.881,9.707,13.561,-17.698,4.46,10.726,-1.507,0.465,2.951,-3.619,27.777,6.53,-8.122,9.028,8.169,3.925,-9.649,-8.869,,,-9.28,,
B.1bV---Valor agregado bruto<C1>,NA,NA,NA,NA,NA,NA,NA,10.73,14.211,13.967,15.803,12.501,12.996,13.73,21.706,27.169,33.367,39.083,24.528,27.539,30.609,41.669,35.016,33.132,32.674,38.159,36.369,35.322,25.656,28.423,26.875,24.205,27.082,27.01,26.231,24.936,20.192,21.057,17.411,22.464,21.975,20.728,18.161,19.214,19.966,18.939,18.699,19.136,19.084,20.115,18.552,16.917,13.977,19.312,18.481,17.285,8.626,6.461,4.047,2.135,7.521,6.331,5.249,-0.154,6.303,6.236,8.602,3.109,4.157,5.269,11.022,4.237,2.824,5.271,7.488,5.893,5.732,8.108,13.167,14.9,15.198,10.663,12.07,12.874,9.03,9.074,8.427,8.074,9.053,8.84,8.639,11.818,11.858,12.369,10.44,11.839,12.018,11.606,8.056,6.802,7.544,10.24,7.408,7.454,8.174,9.266,12.331,10.03,3.734,10.841,10.565,8.767,-2.867,-7.858,-4.164,2.466,-5.466,-5.025,-3.145,10.2,11.802,9.28,8.818,11.013,10.421,9.995,9.058,9.06,10.876,12.521,9.059,9.674,10.422,11.986,9.706,7.281,4.688,10.82,9.609,8.292,1.07,2.464,2.059,2.396,1.775,1.87,2.006,5.178,5.715,6.608,6.428,5.452,5.839,5.992,5.12,5.345,6.27,5.426,5.235,5.584,5.543,6.466,7.239,6.941,10.535,6.861,6.888,7.839,13.312,9.882,8.297,8.071,11.552,10.445,9.811,5.673,8.506,8.565,6.232,7.105,7.592,7.234,5.457,2.944,3.729,2.314,4.17,4.022,3.577,2.457,-17.155,-4.182,0.266,-7.467,-6.365,-4.659,2.149,30.237,11.591,10.102,14.874,13.747,12.761,11.342,12.462,,,11.917,,
Actividades primarias,NA,NA,NA,NA,NA,NA,NA,1.53,10.935,-3.837,4.403,6.287,2.957,3.359,6.683,9.438,37.6,42.689,8.137,17.189,24.358,60.725,55.57,44.072,39.642,57.971,52.958,48.662,25.58,19.8,11.039,9.871,22.539,18.632,15.977,13.591,9.329,18.918,12.56,11.399,13.79,13.437,23.616,3.588,-1.616,-1.638,13.505,8.48,5.598,-6.537,10.622,3.821,14.149,1.368,2.107,5.302,1.816,10.442,11.602,8.999,6.153,7.823,8.161,3.618,0.217,1.623,1.142,1.839,1.771,1.588,10.356,9.972,7.896,8.119,10.159,9.442,9.06,16.057,6.824,5.714,13.167,11.313,9.564,10.595,-3.549,2.214,9.206,-6.571,-0.707,2.28,-0.311,8.517,10.79,-0.207,23.892,9.671,6.493,11.266,12.789,13.616,13.606,8.771,13.213,13.332,11.939,2.564,10.261,2.161,10.126,6.525,5.206,6.667,6.184,3.614,2.287,-6.02,4.815,4.073,0.98,0.083,10.021,13.54,12.774,5.316,7.688,9.139,9.939,-3.139,9.385,6.466,2.745,4.764,5.265,8.896,16.269,5.488,11.824,12.72,10.423,10.841,1.811,6.524,-2.182,0.391,4.332,2.356,1.765,5.695,3.174,13.478,7.694,4.318,6.973,7.187,12.452,7.522,5.475,7.753,9.789,8.462,8.251,8.727,13.617,14.251,17.041,11.314,12.192,13.631,10.494,10.408,9.096,10.228,10.448,10.036,10.095,14.28,5.511,2.708,7.007,9.546,7.482,7.336,5.054,4.787,7.984,0.372,4.915,5.8,4.145,3.86,3.645,12.308,8.678,3.748,6.269,6.977,4.297,14.88,9.164,20.464,9.787,9.593,12.84,18.658,16.835,,,17.668,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",NA,NA,NA,NA,NA,NA,NA,1.53,10.935,-3.837,4.403,6.287,2.957,3.359,6.683,9.438,37.6,42.689,8.137,17.189,24.358,60.725,55.57,44.072,39.642,57.971,52.958,48.662,25.58,19.8,11.039,9.871,22.539,18.632,15.977,13.591,9.329,18.918,12.56,11.399,13.79,13.437,23.616,3.588,-1.616,-1.638,13.505,8.48,5.598,-6.537,10.622,3.821,14.149,1.368,2.107,5.302,1.816,10.442,11.602,8.999,6.153,7.823,8.161,3.618,0.217,1.623,1.142,1.839,1.771,1.588,10.356,9.972,7.896,8.119,10.159,9.442,9.06,16.057,6.824,5.714,13.167,11.313,9.564,10.595,-3.549,2.214,9.206,-6.571,-0.707,2.28,-0.311,8.517,10.79,-0.207,23.892,9.671,6.493,11.266,12.789,13.616,13.606,8.771,13.213,13.332,11.939,2.564,10.261,2.161,10.126,6.525,5.206,6.667,6.184,3.614,2.287,-6.02,4.815,4.073,0.98,0.083,10.021,13.54,12.774,5.316,7.688,9.139,9.939,-3.139,9.385,6.466,2.745,4.764,5.265,8.896,16.269,5.488,11.824,12.72,10.423,10.841,1.811,6.524,-2.182,0.391,4.332,2.356,1.765,5.695,3.174,13.478,7.694,4.318,6.973,7.187,12.452,7.522,5.475,7.753,9.789,8.462,8.251,8.727,13.617,14.251,17.041,11.314,12.192,13.631,10.494,10.408,9.096,10.228,10.448,10.036,10.095,14.28,5.511,2.708,7.007,9.546,7.482,7.336,5.054,4.787,7.984,0.372,4.915,5.8,4.145,3.86,3.645,12.308,8.678,3.748,6.269,6.977,4.297,14.88,9.164,20.464,9.787,9.593,12.84,18.658,16.835,,,17.668,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura",NA,NA,NA,NA,NA,NA,NA,0.1,14.804,-10.522,2.655,7.394,1.971,2.169,2.142,-0.575,45.673,37.509,0.701,12.645,19.876,56.314,58.737,44.08,39.039,57.582,52.945,48.306,27.19,18.662,-0.224,5.267,22.693,15.278,12.147,16.344,10.594,28.556,15.935,13.411,17.653,17.148,30.911,2.162,-6.073,-5.921,16.612,9.671,5.141,-16.59,7.931,-4.12,13.557,-5.905,-5.438,-0.5,-0.954,10.634,16.33,13.392,4.838,7.892,9.524,7.453,1.214,2.112,1.087,4.162,3.575,2.811,7.714,10.194,9.628,8.829,8.985,9.166,9.065,24.225,8.904,1.206,12.541,16.285,12.008,12.169,-11.86,-4.939,11.195,-11.749,-8.501,-3.453,-5.962,10.973,17.87,1.573,39.095,14.451,10.649,18.721,20.524,21.551,24.581,14.492,21.057,22.012,19.512,6.281,14.426,2.992,12.181,10.528,8.443,9.633,3.636,4.423,1.166,-6.907,4.061,3.3,-0.026,0.565,12.445,16.917,14.255,7,9.552,10.979,16.402,-5.017,15.225,6.065,4.21,7.235,6.87,7.876,19.8,0.542,11.254,14.062,10.073,10.439,-4.338,0.615,-4.479,0.145,-1.639,-2.405,-1.608,4.073,0.395,8.75,3.378,2.023,3.797,3.664,8.721,7.356,4.748,8.934,7.972,7.081,7.669,17.271,17.95,22.687,21.953,17.641,19.005,19.951,14.223,14.244,11.525,12.566,14.235,13.479,13.181,13.972,4.265,1.446,6.298,8.664,6.687,6.56,9.523,3.653,7.343,-1.037,6.443,6.677,4.181,1.718,5.901,17.121,9.782,3.855,7.332,8.085,2.486,17.042,8.778,25.707,10.07,9.7,14.697,21.706,17.113,,,19.161,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales",NA,NA,NA,NA,NA,NA,NA,5.368,5.492,4.16,4.173,5.433,4.947,4.742,14.252,30.016,26.056,54.378,22.536,23.869,31.904,71.412,54.999,48.298,47.484,62.26,56.878,53.983,28.366,21.832,26.325,13.639,24.886,25.41,21.935,8.446,5.836,7.155,5.859,7.09,7.113,6.768,8.59,3.439,0.8,4.708,5.945,4.056,4.234,10.305,15.048,11.501,12.334,12.683,12.263,12.282,6.347,9.337,8.039,3.045,7.878,7.935,6.594,0.542,-2.614,2.056,2.741,-1.095,0.019,0.74,9.977,11.155,5.902,7.054,10.579,8.891,8.394,12.619,8.07,13.766,16.254,10.283,11.506,12.773,11.081,13.826,7.919,0.818,12.462,10.836,8.079,4.64,1.585,-2.139,6.816,3.084,1.263,2.688,-1.62,2.02,4.019,-3.671,0.207,1.492,0.113,0.558,2.867,2.473,10.476,1.738,1.992,4.172,10.298,5.409,4.933,-2.078,7.772,6.787,4.372,1.192,4.91,11.515,9.044,3.071,5.95,6.741,2.488,1.142,0.814,7.124,1.796,1.444,2.927,11.937,10.964,14.769,16.814,11.439,12.627,13.765,14.197,22.711,0.577,0.139,18.529,12.005,8.694,6.909,7.983,21.391,18.359,7.475,12.016,13.647,17.539,8.216,5.121,3.909,12.604,9.958,8.338,-1.993,5.455,3.365,6.894,1.795,2.326,3.499,2.464,2.948,5.923,4.654,2.719,3.813,4.036,16.781,7.32,3.713,9.228,11.784,8.972,9.04,-3.351,8.58,10.373,4.494,2.699,5.244,5.043,7.143,1.209,8.075,8.045,3.962,5.392,6.098,8.353,8.288,8.747,10.159,8.319,8.472,8.928,13.132,17.391,,,15.354,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113---Aprovechamiento forestal",NA,NA,NA,NA,NA,NA,NA,-4.118,3.178,2.838,14.294,-0.529,0.581,3.952,1.78,7.674,18.527,28.498,4.787,9.42,14.576,63.462,39.549,39.449,21.873,50.925,46.733,39.198,11.027,22.441,17.133,34.872,16.56,16.759,21.566,22.881,21.858,32.528,20.233,22.36,25.901,24.232,27.492,21.642,10.807,1.528,24.525,19.496,14.377,19.811,14.392,15.49,29.385,17.127,16.57,19.812,3.773,14.405,6.923,2.684,8.917,8.245,6.726,-7.773,0.977,-1.04,-7.274,-3.326,-2.566,-3.803,25.786,-1.773,-6.292,5.34,11.157,5.262,5.282,-15.222,-5.633,5.173,8.889,-10.724,-5.943,-2.184,-4.924,2.432,2.742,6.828,-1.277,0.075,1.98,14.203,13.307,-0.879,-7.539,13.742,8.694,3.896,22.684,5.181,-1.777,14.142,13.714,8.836,10.232,-13.519,6.006,3.143,-9.925,-4.264,-2.159,-4.274,5.829,-12.486,-4.734,-16.744,-3.784,-4.069,-7.317,-19.797,4.469,4.525,23.506,-8.212,-4.423,2.006,1.114,3.309,2.661,-0.747,2.307,2.422,1.538,1.693,1.717,1.855,-1.381,1.706,1.755,0.901,2.932,-4.653,-3.946,-1.883,-1.23,-2.116,-2.054,3.469,2.557,7.042,-0.222,2.986,4.285,3.083,8.936,4.074,3.842,6.677,6.371,5.54,5.833,-0.087,5.31,12.396,16.084,2.698,5.835,8.503,19.115,15.207,10.819,2.182,17.047,14.907,11.364,1.061,-1.029,0.583,6.705,-0.028,0.175,1.843,5.446,3.539,2.765,-1.098,4.463,3.898,2.56,5.477,-14.789,2.422,8.746,-4.882,-2.479,0.419,0.303,32.023,6.213,2.591,14.828,11.851,9.262,9.886,10.654,,,10.291,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura",NA,NA,NA,NA,NA,NA,NA,6.345,2.39,7.464,23.718,4.179,5.214,9.882,35.752,28.941,68.429,53.124,32.087,43.777,46.432,44.406,35.661,18.998,14.455,39.812,31.969,26.767,0.306,17.884,20.199,17.394,9.266,12.981,14.164,0.619,4.149,1.422,17.713,2.56,2.149,6.441,26.57,0.708,22.384,9.228,12.128,15.809,13.802,6.712,7.701,10.815,15.642,7.208,8.576,10.644,0.888,10.743,3.77,7.861,5.854,5.047,5.908,-4.114,10.046,-1.802,2.904,3.351,1.38,1.855,23.451,11.77,25.045,2.793,16.894,19.914,14.524,-17.005,-15.554,-14.391,2.555,-16.226,-15.518,-10.411,13.398,13.04,10.115,-10.452,13.204,11.995,4.735,-2.141,-7.757,-0.471,12.65,-5.175,-3.364,1.064,21.568,7.122,1.183,6.956,13.976,8.905,8.304,-18.946,6.394,-14.484,-5.139,-6.431,-9.396,-8.1,22.539,-4.273,1.641,-4.827,7.482,5.452,2.222,14.367,16.053,-6.181,-2.59,15.21,8.044,4.933,-33.184,-11.706,20.8,15.619,-22.363,-9.806,-2.901,13.709,10.417,-2.586,-6.365,11.823,6.209,2.143,6.101,2.113,11.827,19.465,3.845,6.698,10.482,33.006,16.636,5.448,7.598,23.898,16.988,13.978,39.687,8.082,29.196,33.368,23.134,25.181,27.658,-9.496,27.996,20.851,11.922,7.74,12.308,12.186,11.26,-0.754,1.817,7.229,4.699,3.618,4.757,7.831,28.072,16.713,2.673,18.31,17.721,12.863,-6.531,-7.473,-1.584,1.271,-7.059,-5.059,-3.2,23.904,-3.251,-8.571,-7.575,8.754,2.194,-0.808,12.065,19.929,26.171,17.462,15.968,19.424,18.863,15.058,10.091,,,12.509,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|115---Servicios relacionados con las actividades agropecuarias y forestales",NA,NA,NA,NA,NA,NA,NA,43.274,19.579,49.394,64.994,32.638,38.374,46.36,10.782,10.048,218.384,176.491,10.485,87.32,117.476,52.492,101.341,24.076,-6.329,72.182,41.964,21.2,9.561,-18.273,-12.645,78.39,-3.558,-8.547,20.342,17.003,21.935,49.189,-42.216,18.973,34.819,-3.127,27.332,7.747,-41.529,-23.682,19.315,-15.994,-18.253,-24.216,-4.718,-18.021,9.961,-17.008,-17.417,-9.907,2.913,3.896,5.066,-2.851,3.33,4.026,1.724,-7.814,9.719,-33.081,-6.487,-0.331,-13.594,-11.322,216.507,224.829,245.343,210.252,220.416,228.234,222.171,-5.059,-0.576,29.667,22.105,-2.924,7.83,12.465,3.165,3.918,3.202,1.762,3.532,3.401,2.823,28.499,12.323,-1.517,4.941,20.579,11.828,9.425,5.002,7.599,-7.465,13.583,6.186,1.425,5.493,-14.961,6.174,-7.351,7.487,-5.194,-5.88,-1.065,10.642,-11.484,2.75,-23.469,-0.809,0.306,-9,5.525,12.514,3.723,38.409,8.753,7.139,17.432,6.79,-0.015,17.53,43.73,3.538,7.885,21.791,-7.734,7.034,12.88,0.749,-0.92,3.75,2.376,23.286,10.833,-13.88,-15.404,17.079,5.68,-3.82,46.43,-0.05,2.817,23.074,24.497,17.992,20.006,-0.724,-3.894,-6.056,-19.789,-1.925,-3.005,-9.826,-42.751,18.016,19.75,39.956,-20.193,-10.078,8.011,20.481,10.259,19.473,72.919,14.87,16.422,42.888,31.524,3.701,-1.9,11.62,16.863,10.37,11.079,3.784,2.199,11.501,-17.242,3.043,5.645,-7.393,17.067,-5.748,-14.485,-11.723,6.487,-0.322,-6.126,-22.383,23.887,17.065,-13.823,-3.391,2.307,-5.415,53.735,8.716,,,30.039,,
