Descriptores,1993|T1,1993|T2,1993|T3,1993|T4,1993|6 Meses,1993|9 Meses,1993|Anual,1994|T1,1994|T2,1994|T3,1994|T4,1994|6 Meses,1994|9 Meses,1994|Anual,1995|T1,1995|T2,1995|T3,1995|T4,1995|6 Meses,1995|9 Meses,1995|Anual,1996|T1,1996|T2,1996|T3,1996|T4,1996|6 Meses,1996|9 Meses,1996|Anual,1997|T1,1997|T2,1997|T3,1997|T4,1997|6 Meses,1997|9 Meses,1997|Anual,1998|T1,1998|T2,1998|T3,1998|T4,1998|6 Meses,1998|9 Meses,1998|Anual,1999|T1,1999|T2,1999|T3,1999|T4,1999|6 Meses,1999|9 Meses,1999|Anual,2000|T1,2000|T2,2000|T3,2000|T4,2000|6 Meses,2000|9 Meses,2000|Anual,2001|T1,2001|T2,2001|T3,2001|T4,2001|6 Meses,2001|9 Meses,2001|Anual,2002|T1,2002|T2,2002|T3,2002|T4,2002|6 Meses,2002|9 Meses,2002|Anual,2003|T1,2003|T2,2003|T3,2003|T4,2003|6 Meses,2003|9 Meses,2003|Anual,2004|T1,2004|T2,2004|T3,2004|T4,2004|6 Meses,2004|9 Meses,2004|Anual,2005|T1,2005|T2,2005|T3,2005|T4,2005|6 Meses,2005|9 Meses,2005|Anual,2006|T1,2006|T2,2006|T3,2006|T4,2006|6 Meses,2006|9 Meses,2006|Anual,2007|T1,2007|T2,2007|T3,2007|T4,2007|6 Meses,2007|9 Meses,2007|Anual,2008|T1,2008|T2,2008|T3,2008|T4,2008|6 Meses,2008|9 Meses,2008|Anual,2009|T1,2009|T2,2009|T3,2009|T4,2009|6 Meses,2009|9 Meses,2009|Anual,2010|T1,2010|T2,2010|T3,2010|T4,2010|6 Meses,2010|9 Meses,2010|Anual,2011|T1,2011|T2,2011|T3,2011|T4,2011|6 Meses,2011|9 Meses,2011|Anual,2012|T1,2012|T2,2012|T3,2012|T4,2012|6 Meses,2012|9 Meses,2012|Anual,2013|T1,2013|T2,2013|T3,2013|T4,2013|6 Meses,2013|9 Meses,2013|Anual,2014|T1,2014|T2,2014|T3,2014|T4,2014|6 Meses,2014|9 Meses,2014|Anual,2015|T1,2015|T2,2015|T3,2015|T4,2015|6 Meses,2015|9 Meses,2015|Anual,2016|T1,2016|T2,2016|T3,2016|T4,2016|6 Meses,2016|9 Meses,2016|Anual,2017|T1,2017|T2,2017|T3,2017|T4,2017|6 Meses,2017|9 Meses,2017|Anual,2018|T1,2018|T2,2018|T3,2018|T4,2018|6 Meses,2018|9 Meses,2018|Anual,2019|T1,2019|T2,2019|T3,2019|T4,2019|6 Meses,2019|9 Meses,2019|Anual,2020|T1<P>,2020|T2<P>,2020|T3<P>,2020|T4<P>,2020|6 Meses<P>,2020|9 Meses<P>,2020|Anual<P>,2021|T1<P>,2021|T2<P>,2021|T3<P>,2021|T4<P>,2021|6 Meses<P>,2021|9 Meses<P>,2021|Anual<P>,2022|T1<R>,2022|T2<P>,2022|T3,2022|T4,2022|6 Meses,2022|9 Meses,2022|Anual
B.1bP---Producto interno bruto<C1>,10008894.663,10171035.407,10066258.406,10416096.231,10089965.035,10082062.826,10165571.177,10343388.49,10772526.228,10602752.886,10952773.398,10557957.359,10572889.201,10667860.25,10189745.483,9795718.997,9802904.372,10198513.301,9992732.24,9929456.284,9996720.538,10426430.907,10569227.512,10583112.1,11116526.604,10497829.21,10526256.84,10673824.281,10862932.039,11460068.097,11408200.828,11887380.083,11161500.068,11243733.655,11404645.262,11827638.014,12034464.21,11972371.607,12139816.605,11931051.112,11944824.61,11993572.609,12100154.549,12315219.076,12325229.13,12554685.793,12207686.812,12246867.585,12323822.137,12725022.063,12994568.899,13008792.244,13003302.161,12859795.481,12909461.069,12932921.342,12796119.499,12967530.185,12857408.646,12901429.21,12881824.842,12873686.11,12880621.885,12415541.447,13112362.762,12889950.083,13084104.38,12763952.104,12805951.431,12875489.668,12803323.706,13182930.05,12954912.936,13305707.392,12993126.878,12980388.897,13061718.521,13252629.589,13732335.998,13438260.095,13872034.546,13492482.793,13474408.561,13573815.057,13354787.894,14104833.951,13782144.43,14306523.806,13729810.922,13747255.425,13887072.52,14107960.045,14700503.916,14435867.697,14800897.33,14404231.98,14414777.219,14511307.247,14393727.358,14993339.384,14783298.239,15204938.92,14693533.371,14723454.993,14843825.975,14563428.413,15386334.066,14979494.72,15125053.525,14974881.24,14976419.066,15013577.681,13752148.753,14012937.528,14231941.432,14882965.803,13882543.141,13999009.238,14219998.379,14371721.284,14998399.428,14921452.909,15499605.164,14685060.356,14763857.873,14947794.696,14902733.814,15413046.497,15526014.885,16139539.208,15157890.155,15280598.399,15495333.601,15619753.303,16027466,15952811.186,16638864.115,15823609.652,15866676.83,16059723.651,15719784.508,16361860.91,16186108.939,16840993.955,16040822.709,16089251.452,16277187.078,16162079.475,16743455.705,16649895.971,17408768.857,16452767.59,16518477.05,16741050.002,16710181.544,17261188.443,17331651.612,17866410.985,16985684.993,17101007.2,17292358.146,17166447.835,17781185.227,17625653.337,18415670.536,17473816.531,17524428.8,17747239.234,17757308.367,18084569.286,17900716.868,18746450.747,17920938.826,17914198.174,18122261.317,18019698.535,18671189.451,18405925.458,18983362.544,18345443.993,18365604.481,18520043.997,18237313.081,18461456.682,18371468.367,18862482.917,18349384.882,18356746.044,18483180.262,18078352.773,15023632.132,16825282.572,18048458.682,16550992.452,16642422.492,16993931.54,17382337.204,18013549.789,17579754.183,18251012.6,17697943.497,17658547.059,17806663.444,17699883.764,18382118.292,,,18041001.028,,
"D.21-D.31---Impuestos sobre los productos, netos",388593.508,388084.195,379390.118,422663.999,388338.852,385355.94,394682.955,409249.729,428658.303,430235.414,433173.579,418954.016,422714.482,425329.256,409332.866,363921.863,374861.067,398450.151,386627.365,382705.266,386641.487,406708.476,393786.26,400158.716,439556.964,400247.368,400217.817,410052.604,415296.997,434107.935,443297.627,468735.333,424702.466,430900.853,440359.473,455705.144,458753.157,454403.686,467280.558,457229.15,456287.329,459035.636,465406.43,478544.294,479013.732,491472.835,471975.362,474321.486,478609.323,482883.855,483991.158,508508.66,478291.611,483437.507,491794.558,488418.821,503815.049,500219.34,491740.591,474788.124,502017.194,498591.66,492640.776,476020.185,503406.877,501488.071,502351.61,489713.531,493638.378,495816.686,478501.139,506687.293,508065.114,517199.858,492594.216,497751.182,502613.351,502742.871,531489.007,530276.712,528002.862,517115.939,521502.863,523127.863,517695.971,550407.592,541645.338,547653.691,534051.782,536582.967,539350.648,557034.356,589660.207,583737.608,589261.825,573347.282,576810.724,579923.499,568981.875,601369.211,599747.005,587348.854,585175.543,590032.697,589361.736,583764.113,630815.346,619585.758,609119.003,607289.73,611388.406,610821.055,544393.534,547809.245,584418.539,609184.286,546101.39,558873.773,571451.401,564548.737,598643.301,603916.279,614467.807,581596.019,589036.106,595394.031,589760.54,616867.925,624806.205,646713.366,603314.233,610478.223,619537.009,609391.278,623760.69,634629.6,647143.023,616575.984,622593.856,628731.148,606599.235,634088.04,643804.559,653777.098,620343.637,628163.945,634567.233,644173.654,666811.909,676429.421,708153.885,655492.781,662471.661,673892.217,667506.677,701117.193,723570.365,759584.273,684311.935,697398.078,712944.627,718850.342,753658.48,775714.15,810532.823,736254.411,749407.658,764688.949,758454.697,788325.253,797788.604,825239.294,773389.975,781522.851,792451.962,781091.949,810808.134,826608.548,856608.974,795950.041,806169.543,818779.401,800603.763,799882.801,820289.683,847707.849,800243.282,806925.416,817121.024,766469.626,616524.633,700240.181,756586.16,691497.129,694411.48,709955.15,701903.379,731874.492,765413.078,810451.227,716888.935,733063.65,752410.544,749159.949,788491.53,,,768825.74,,
B.1bV---Valor agregado bruto<C1>,9620301.155,9782951.212,9686868.289,9993432.232,9701626.184,9696706.885,9770888.222,9934138.761,10343867.925,10172517.471,10519599.819,10139003.343,10150174.719,10242530.994,9780412.617,9431797.134,9428043.304,9800063.149,9606104.875,9546751.018,9610079.051,10019722.431,10175441.252,10182953.385,10676969.64,10097581.842,10126039.023,10263771.677,10447635.043,11025960.162,10964903.201,11418644.75,10736797.602,10812832.802,10964285.789,11371932.87,11575711.053,11517967.921,11672536.048,11473821.961,11488537.281,11534536.973,11634748.119,11836674.782,11846215.398,12063212.958,11735711.45,11772546.099,11845212.814,12242138.208,12510577.742,12500283.584,12525010.55,12376357.975,12417666.511,12444502.521,12292304.45,12467310.845,12365668.055,12426641.086,12379807.648,12375094.45,12387981.109,11939521.261,12608955.885,12388462.012,12581752.77,12274238.573,12312313.053,12379672.982,12324822.567,12676242.757,12446847.822,12788507.534,12500532.662,12482637.715,12559105.17,12749886.718,13200846.991,12907983.383,13344031.684,12975366.854,12952905.697,13050687.194,12837091.923,13554426.358,13240499.092,13758870.115,13195759.141,13210672.458,13347721.872,13550925.689,14110843.709,13852130.089,14211635.505,13830884.699,13837966.496,13931383.748,13824745.483,14391970.173,14183551.234,14617590.066,14108357.828,14133422.297,14254464.239,13979664.3,14755518.72,14359908.962,14515934.522,14367591.51,14365030.661,14402756.626,13207755.219,13465128.283,13647522.893,14273781.517,13336441.751,13440135.465,13648546.978,13807172.547,14399756.127,14317536.629,14885137.357,14103464.337,14174821.768,14352400.665,14312973.274,14796178.571,14901208.68,15492825.842,14554575.923,14670120.175,14875796.592,15010362.025,15403705.31,15318181.586,15991721.091,15207033.667,15244082.974,15430992.503,15113185.273,15727772.87,15542304.38,16187216.857,15420479.071,15461087.508,15642619.845,15517905.821,16076643.797,15973466.55,16700614.972,15797274.809,15856005.389,16067157.785,16042674.867,16560071.25,16608081.247,17106826.712,16301373.058,16403609.121,16579413.519,16447597.493,17027526.747,16849939.187,17605137.713,16737562.12,16775021.142,16982550.285,16998853.67,17296244.033,17102928.263,17921211.453,17147548.852,17132675.322,17329809.355,17238606.586,17860381.318,17579316.91,18126753.57,17549493.952,17559434.938,17701264.596,17436709.318,17661573.882,17551178.684,18014775.068,17549141.6,17549820.628,17666059.238,17311883.148,14407107.499,16125042.391,17291872.523,15859495.323,15948011.012,16283976.39,16680433.825,17281675.297,16814341.105,17440561.373,16981054.561,16925483.409,17054252.9,16950723.815,17593626.762,,,17272175.288,,
Actividades primarias,356222.154,364092.188,352560.802,406012.52,360157.171,357625.048,369721.916,349532.754,388452.542,326544.905,416051.623,368992.648,354843.4,370145.456,345778.239,364700.336,358865.501,432118.933,355239.287,356448.025,375365.752,381614.088,381038.878,355982.908,441739.815,381326.483,372878.624,390093.922,381977.532,392892.867,343451.199,441757.07,387435.199,372773.866,390019.667,400472.632,395869.739,374599.339,436960.389,398171.186,390313.904,401975.525,441942.193,389870.927,363161.193,434696.067,415906.56,398324.771,407417.595,422422.225,413519.382,346637.289,461258.863,417970.804,394192.966,410959.44,408857.246,443463.645,381685.67,497817.126,426160.446,411335.521,432955.922,419345.272,438028.126,378747.268,480003.538,428686.699,412040.222,429031.051,434335.975,453703.146,393341.495,500491.525,444019.56,427126.872,445468.035,464247.177,457607.51,379136.827,522891.134,460927.343,433663.838,455970.662,434627.717,433367.75,396089.28,493309.989,433997.733,421361.582,439348.684,451479.288,474684.484,390257.06,551322.747,463081.886,438806.944,466935.895,470659.971,502518.262,409410.469,564140.198,486589.117,460862.901,486682.225,455913.809,512042.751,401706.695,576196.601,483978.28,456554.418,486464.964,450979.112,504523.374,397485.704,551636.255,477751.243,450996.063,476156.111,442771.052,533487.7,420307.458,555549.914,488129.376,465522.07,488029.031,439332.433,466688.587,421549.367,551075.893,453010.51,442523.462,469661.57,455690.621,524425.353,422535.303,595410.923,490057.987,467550.426,499515.55,459090.682,543497.175,427915.871,613119.048,501293.929,476834.576,510905.694,483224.279,558289.731,453279.696,625456.354,520757.005,498264.569,530062.515,509015.281,566845.216,453568.945,634688.127,537930.248,509809.814,541029.392,513084.776,584011.946,474170.706,668973.612,548548.361,523755.809,560060.26,538261.974,598200.228,480362.766,699024.668,568231.101,538941.656,578962.409,566925.305,616108.75,487155.15,705973.295,591517.028,556729.735,594040.625,575787.118,607732.688,493860.013,692581.629,591759.903,559126.606,592490.362,568700.836,589701.724,517173.024,702024.2,579201.28,558525.195,594399.946,563066.68,622706.481,510677.1,734565.524,592886.581,565483.421,607753.947,572708.808,631719.873,,,602214.34,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",356222.154,364092.188,352560.802,406012.52,360157.171,357625.048,369721.916,349532.754,388452.542,326544.905,416051.623,368992.648,354843.4,370145.456,345778.239,364700.336,358865.501,432118.933,355239.287,356448.025,375365.752,381614.088,381038.878,355982.908,441739.815,381326.483,372878.624,390093.922,381977.532,392892.867,343451.199,441757.07,387435.199,372773.866,390019.667,400472.632,395869.739,374599.339,436960.389,398171.186,390313.904,401975.525,441942.193,389870.927,363161.193,434696.067,415906.56,398324.771,407417.595,422422.225,413519.382,346637.289,461258.863,417970.804,394192.966,410959.44,408857.246,443463.645,381685.67,497817.126,426160.446,411335.521,432955.922,419345.272,438028.126,378747.268,480003.538,428686.699,412040.222,429031.051,434335.975,453703.146,393341.495,500491.525,444019.56,427126.872,445468.035,464247.177,457607.51,379136.827,522891.134,460927.343,433663.838,455970.662,434627.717,433367.75,396089.28,493309.989,433997.733,421361.582,439348.684,451479.288,474684.484,390257.06,551322.747,463081.886,438806.944,466935.895,470659.971,502518.262,409410.469,564140.198,486589.117,460862.901,486682.225,455913.809,512042.751,401706.695,576196.601,483978.28,456554.418,486464.964,450979.112,504523.374,397485.704,551636.255,477751.243,450996.063,476156.111,442771.052,533487.7,420307.458,555549.914,488129.376,465522.07,488029.031,439332.433,466688.587,421549.367,551075.893,453010.51,442523.462,469661.57,455690.621,524425.353,422535.303,595410.923,490057.987,467550.426,499515.55,459090.682,543497.175,427915.871,613119.048,501293.929,476834.576,510905.694,483224.279,558289.731,453279.696,625456.354,520757.005,498264.569,530062.515,509015.281,566845.216,453568.945,634688.127,537930.248,509809.814,541029.392,513084.776,584011.946,474170.706,668973.612,548548.361,523755.809,560060.26,538261.974,598200.228,480362.766,699024.668,568231.101,538941.656,578962.409,566925.305,616108.75,487155.15,705973.295,591517.028,556729.735,594040.625,575787.118,607732.688,493860.013,692581.629,591759.903,559126.606,592490.362,568700.836,589701.724,517173.024,702024.2,579201.28,558525.195,594399.946,563066.68,622706.481,510677.1,734565.524,592886.581,565483.421,607753.947,572708.808,631719.873,,,602214.34,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura",216828.345,209610.852,179794.431,245271.568,213219.598,202077.876,212876.299,212306.946,239299.868,160516.087,253368.723,225803.407,204040.967,216372.906,211220.718,218042.487,200452.948,267326.592,214631.602,209905.384,224260.686,239377.857,232054.849,199909.59,278341.496,235716.353,223780.765,237420.948,242235.218,246195.668,181899.921,273977.717,244215.443,223443.602,236077.131,259091.826,246345.689,210601.863,265141.87,252718.757,238679.793,245295.312,290788.295,236804.459,194539.86,261539.203,263796.377,240710.871,245917.954,264760.3,255820.354,175977.076,279315.169,260290.327,232185.91,243968.225,251039.078,279161.597,204001.42,312805.893,265100.338,244734.032,261751.997,262869.359,271536.287,198007.914,295131.46,267202.823,244137.853,256886.255,268153.296,281948.846,209772.026,311558.432,275051.071,253291.389,267858.15,296409.259,284990.332,197062.805,329369.228,290699.795,259487.465,276957.906,269277.674,259142.768,213636.04,297838.682,264210.221,247352.161,259973.791,278150.761,295266.741,203064.835,350180.592,286708.751,258827.445,281665.732,290124.806,318026.301,219214.709,358630.784,304075.554,275788.605,296499.15,280898.667,324001.393,208209.97,373354.47,302450.03,271036.677,296616.125,271685.821,316775.373,197786.573,347284.717,294230.597,262082.589,283383.121,259249.71,339784.21,221477.419,347066.781,299516.96,273503.78,291894.53,259060.05,275233.323,217227.096,337677.458,267146.687,250506.823,272299.482,270147.406,324774.466,219423.394,383702.342,297460.936,271448.422,299511.902,274362.512,348963.751,228873.83,402123.439,311663.132,284066.698,313580.883,293514.099,357794.727,249480.718,409100.664,325654.413,300263.181,327472.552,311588.4,364274.018,243301.346,411565.664,337931.209,306387.921,332682.357,319735.41,380035.574,262564.874,442808.711,349885.492,320778.619,351286.142,341559.912,391974.223,262211.578,465411.522,366767.068,331915.238,365289.309,364906.332,402373.23,264241.945,468696.461,383639.781,343840.502,375054.492,373706.605,394777.639,269875.913,454407.347,384242.122,346120.052,373191.876,359739.488,378500.795,288932.102,460338.394,369120.142,342390.795,371877.695,351643.177,399558.396,277130.534,488587.594,375600.786,342777.369,379229.925,355983.378,405017.35,,,380500.364,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales",111882.861,126136.326,146415.543,133374.962,119009.593,128144.91,129452.423,110838.502,121470.018,138862.954,130864.106,116154.26,123723.825,125508.895,108193.759,120175.55,129176.802,132726.988,114184.655,119182.037,122568.275,112401.292,120956.258,125604.36,130745.81,116678.775,119653.97,122426.93,110775.887,117207.908,130642.211,133307.082,113991.898,119542.002,122983.272,113610.004,121004.064,132968.191,137348.873,117307.034,122527.42,126232.783,120651.895,124100.605,136399.66,140862.044,122376.25,127050.72,130503.551,125182.649,127831.443,138184.547,147532.413,126507.046,130399.546,134682.763,129196.302,134598.611,145847.909,149624.878,131897.457,136547.607,139816.925,130167.847,136765.312,151531.22,153089.081,133466.58,139488.126,142888.365,135158.588,141757.023,152395.672,153669.013,138457.805,143103.761,145745.074,139658.968,142935.846,151864.245,157293.761,141297.407,144819.686,147938.205,139818.632,145515.662,152335.984,159422.822,142667.147,145890.093,149273.275,145029.442,149220.499,156858.105,167162.726,147124.971,150369.349,154567.693,148897.737,154650.554,162162.742,168868.787,151774.146,155237.011,158644.955,148521.142,156484.825,165486.816,169884.117,152502.984,156830.928,160094.225,151255.521,158859.097,171169.955,172115.938,155057.309,160428.191,163350.128,153805.994,161959.104,171035.293,173898.83,157882.549,162266.797,165174.805,155611.709,161180.799,175340.386,176920.986,158396.254,164044.298,167263.47,159268.235,167906.979,174035.775,176774.815,163587.607,167070.33,169496.451,157948.603,163819.622,170149.233,175033.238,160884.113,163972.486,166737.674,158822.048,167190.694,172852.115,178523.42,163006.371,166288.285,169347.069,161218.937,169512.269,177192.231,181161.115,165365.603,169307.812,172271.138,160621.418,168360.96,175603.389,181522.469,164491.189,168195.256,171527.059,161963.472,169917.705,181420.488,187125.042,165940.589,171100.555,175106.677,166660.037,173846.437,183999.515,191535.535,170253.237,174835.33,179010.381,169241.517,177455.37,188851.86,196735.498,173348.443,178516.249,183071.061,174174.406,181561.121,196437.721,202713.584,177867.763,184057.749,188721.708,177740.483,186960.507,199165.447,207737.164,182350.495,187955.479,192900.9,182622.926,191908.213,,,187265.569,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113---Aprovechamiento forestal",17803.113,17044.255,16857.712,16537.041,17423.684,17235.026,17060.53,16421.246,17044.734,17445.568,19381.712,16732.99,16970.516,17573.315,15639.452,16018.094,16474.78,17547.41,15828.773,16044.109,16419.934,17892.076,16046.146,17504.475,18478.128,16969.111,17147.565,17480.206,17994.183,17638.068,18198.666,20328.724,17816.125,17943.639,18539.91,18404.354,18467.336,19707.114,21638.244,18435.845,18859.601,19554.262,20233.189,19730.009,20344.093,19454.265,19981.599,20102.43,19940.389,22713.71,20702.64,20855.539,21426.527,21708.175,21423.963,21424.604,19404.316,19828.888,19862.321,21037.402,19616.602,19698.509,20033.232,17656.795,19274.91,18566.82,18497.783,18465.853,18499.508,18499.077,20778.701,18993.186,17493.066,19671.299,19885.944,19088.318,19234.063,18232.808,18160.195,17416.151,20231.97,18196.502,17936.385,18510.281,15859.893,17203.616,17159.631,22043.796,16531.755,16741.047,18066.734,17773.861,18646.513,16832.391,19338.187,18210.187,17750.922,18147.738,20921.891,19293.32,16005.848,21087.853,20107.605,18740.353,19327.228,17591.391,19890.754,16950.075,18445.432,18741.073,18144.073,18219.413,17989.13,18118.093,17133.126,17883.86,18053.611,17746.783,17781.052,16479.916,18545.404,16763.463,19385.525,17512.66,17262.928,17793.577,15413.844,18745.019,16524.826,19615.671,17079.431,16894.563,17574.84,16426.194,19432.083,16681.569,18697.326,17929.139,17513.282,17809.293,16395.375,18646.75,16148.901,18679.306,17521.063,17063.675,17467.583,16564.796,18359.048,16677.412,17985.347,17461.922,17200.419,17396.651,17839.092,18761.839,16798.232,18467.301,18300.465,17799.721,17966.616,17090.505,19216.095,18335.154,20592.066,18153.3,18213.918,18808.455,19500.08,21236.396,19684.667,20866.305,20368.238,20140.381,20321.862,19457.524,20893.028,19666.84,21091.58,20175.276,20005.797,20277.243,19865.5,20960.861,19593.135,20909.921,20413.18,20139.832,20332.354,20603.978,17090.735,18917.402,21274.241,18847.357,18870.705,19471.589,19557.314,21750.789,19438.688,20625.282,20654.051,20248.93,20343.018,19143.699,20601.126,,,19872.412,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura",9059.271,10802.53,8910.942,10098.857,9930.9,9590.914,9717.9,9076.5,10053.526,8866.496,11304.266,9565.013,9332.174,9825.197,9944.043,9957.463,11250.226,12638.297,9950.753,10383.91,10947.507,11054.075,11250.211,11159.956,12638.518,11152.143,11154.747,11525.69,10167.329,11331.423,11384.237,11620.227,10749.376,10960.996,11125.804,8508.13,9498.176,9334.452,11388.193,9003.153,9113.586,9682.238,9274.978,8709.336,10598.927,11678.03,8992.157,9527.747,10065.318,9080.267,8703.817,10698.028,11932.943,8892.042,9494.038,10103.764,8581.79,9441.6,11037.056,13161.878,9011.695,9686.815,10555.581,8072.208,9995.069,10191.818,12346.026,9033.638,9419.698,10151.28,9060.017,9941.897,12520.979,13896.471,9500.957,10507.631,11354.841,8806.425,10439.962,11356.067,13948.262,9623.193,10200.818,11137.679,8551.982,10479.621,11483.686,12004.875,9515.801,10171.763,10630.041,9118.069,10437.982,12125.809,12596.816,9778.025,10560.62,11069.669,9363.509,9376.604,10817.439,13344.365,9370.056,9852.517,10725.479,7767.78,10440.416,9957.552,12211.06,9104.098,9388.583,10094.202,8845.596,9682.372,10220.651,12544.641,9263.984,9582.873,10323.315,11854.652,12001.15,9896.213,12942.957,11927.901,11250.672,11673.743,7976.138,10407.502,11188.006,13566.221,9191.82,9857.216,10784.467,8594.718,11068.245,11015.821,13070.597,9831.481,10226.261,10937.345,8828.357,10748.516,11521.819,14626.328,9788.437,10366.231,11431.255,12061.584,13631.549,13082.063,16713.867,12846.567,12925.066,13872.266,16243.57,13033.967,15142.855,20990.504,14638.769,14806.797,16352.724,14450.897,15022.572,16416.111,20787.833,14736.734,15296.526,16669.353,13870.006,13644.222,15638.463,20257.081,13757.114,14384.23,15852.443,14237.773,17552.328,17877.839,19003.409,15895.05,16555.98,17167.837,11286.64,13153.775,14088.427,15931.658,12220.207,12842.947,13615.125,12219.408,11273.043,11724.507,13912.331,11746.225,11738.986,12282.322,12734.8,12986.694,13711.713,14752.194,12860.747,13144.402,13546.35,13080.844,12816.954,,,12948.899,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|115---Servicios relacionados con las actividades agropecuarias y forestales",648.564,498.226,582.174,730.092,573.395,576.321,614.764,889.561,584.397,853.799,1132.816,736.979,775.919,865.143,780.267,506.742,1510.745,1879.645,643.505,932.585,1169.35,888.788,731.414,1804.527,1535.862,810.101,1141.577,1240.148,804.916,519.8,1326.164,2523.32,662.358,883.627,1293.55,858.318,554.475,1987.719,1443.208,706.396,1133.504,1210.93,993.836,526.518,1278.652,1162.526,760.177,933.002,990.383,685.299,461.126,922.099,1051.812,573.213,689.508,780.084,635.76,432.949,936.964,1187.075,534.354,668.558,798.187,579.063,456.548,449.496,939.189,517.806,495.036,606.074,1185.373,1062.194,1159.752,1696.31,1123.783,1135.773,1275.907,1139.717,1081.175,1437.559,2047.913,1110.446,1219.484,1426.591,1119.536,1026.082,1473.939,1999.815,1072.809,1206.519,1404.843,1407.156,1112.749,1375.919,2044.427,1259.953,1298.608,1485.063,1352.028,1171.483,1209.731,2208.41,1261.756,1244.414,1485.413,1134.828,1225.363,1102.282,2301.522,1180.096,1154.158,1440.999,1203.044,1088.438,1175.398,1807.099,1145.741,1155.627,1318.495,1380.78,1197.833,1135.07,2255.822,1289.306,1237.894,1492.376,1270.692,1121.944,1269.052,3295.556,1196.318,1220.563,1739.311,1254.068,1243.581,1378.745,3165.843,1248.824,1292.131,1760.559,1555.834,1318.536,1222.088,2656.738,1437.185,1365.486,1688.299,2261.752,1313.713,1187.387,3133.056,1787.732,1587.617,1973.977,2125.282,1263.123,1134.282,2503.542,1694.202,1507.562,1756.557,1186.546,1376.745,1251.179,3262.534,1281.646,1271.49,1769.251,1368.503,1427.682,1407.569,5364.718,1398.093,1401.251,2392.118,1663.64,1443.727,1369.011,5646.31,1553.683,1492.126,2530.672,1686.856,1385.044,1450.678,4597.205,1535.95,1507.526,2279.946,1963.556,1276.03,1161.292,3785.65,1619.793,1466.959,2046.632,1390.907,1450.096,1230.719,2863.29,1420.501,1357.241,1733.753,1877.961,1376.23,,,1627.096,,
