Descriptores,1993|T1,1993|T2,1993|T3,1993|T4,1993|6 Meses,1993|9 Meses,1993|Anual,1994|T1,1994|T2,1994|T3,1994|T4,1994|6 Meses,1994|9 Meses,1994|Anual,1995|T1,1995|T2,1995|T3,1995|T4,1995|6 Meses,1995|9 Meses,1995|Anual,1996|T1,1996|T2,1996|T3,1996|T4,1996|6 Meses,1996|9 Meses,1996|Anual,1997|T1,1997|T2,1997|T3,1997|T4,1997|6 Meses,1997|9 Meses,1997|Anual,1998|T1,1998|T2,1998|T3,1998|T4,1998|6 Meses,1998|9 Meses,1998|Anual,1999|T1,1999|T2,1999|T3,1999|T4,1999|6 Meses,1999|9 Meses,1999|Anual,2000|T1,2000|T2,2000|T3,2000|T4,2000|6 Meses,2000|9 Meses,2000|Anual,2001|T1,2001|T2,2001|T3,2001|T4,2001|6 Meses,2001|9 Meses,2001|Anual,2002|T1,2002|T2,2002|T3,2002|T4,2002|6 Meses,2002|9 Meses,2002|Anual,2003|T1,2003|T2,2003|T3,2003|T4,2003|6 Meses,2003|9 Meses,2003|Anual,2004|T1,2004|T2,2004|T3,2004|T4,2004|6 Meses,2004|9 Meses,2004|Anual,2005|T1,2005|T2,2005|T3,2005|T4,2005|6 Meses,2005|9 Meses,2005|Anual,2006|T1,2006|T2,2006|T3,2006|T4,2006|6 Meses,2006|9 Meses,2006|Anual,2007|T1,2007|T2,2007|T3,2007|T4,2007|6 Meses,2007|9 Meses,2007|Anual,2008|T1,2008|T2,2008|T3,2008|T4,2008|6 Meses,2008|9 Meses,2008|Anual,2009|T1,2009|T2,2009|T3,2009|T4,2009|6 Meses,2009|9 Meses,2009|Anual,2010|T1,2010|T2,2010|T3,2010|T4,2010|6 Meses,2010|9 Meses,2010|Anual,2011|T1,2011|T2,2011|T3,2011|T4,2011|6 Meses,2011|9 Meses,2011|Anual,2012|T1,2012|T2,2012|T3,2012|T4,2012|6 Meses,2012|9 Meses,2012|Anual,2013|T1,2013|T2,2013|T3,2013|T4,2013|6 Meses,2013|9 Meses,2013|Anual,2014|T1,2014|T2,2014|T3,2014|T4,2014|6 Meses,2014|9 Meses,2014|Anual,2015|T1,2015|T2,2015|T3,2015|T4,2015|6 Meses,2015|9 Meses,2015|Anual,2016|T1,2016|T2,2016|T3,2016|T4,2016|6 Meses,2016|9 Meses,2016|Anual,2017|T1,2017|T2,2017|T3,2017|T4,2017|6 Meses,2017|9 Meses,2017|Anual,2018|T1,2018|T2,2018|T3,2018|T4,2018|6 Meses,2018|9 Meses,2018|Anual,2019|T1,2019|T2,2019|T3,2019|T4,2019|6 Meses,2019|9 Meses,2019|Anual,2020|T1<P>,2020|T2<P>,2020|T3<P>,2020|T4<P>,2020|6 Meses<P>,2020|9 Meses<P>,2020|Anual<P>,2021|T1<P>,2021|T2<P>,2021|T3<P>,2021|T4<P>,2021|6 Meses<P>,2021|9 Meses<P>,2021|Anual<P>,2022|T1<R>,2022|T2<P>,2022|T3,2022|T4,2022|6 Meses,2022|9 Meses,2022|Anual
B.1bP---Producto interno bruto<C1>,NA,NA,NA,NA,NA,NA,NA,3.342,5.914,5.33,5.152,4.638,4.868,4.941,-1.485,-9.068,-7.544,-6.886,-5.354,-6.086,-6.291,2.323,7.896,7.959,9.001,5.055,6.01,6.773,4.186,8.429,7.796,6.934,6.322,6.816,6.847,8.881,5.012,4.945,2.124,6.895,6.235,5.164,2.304,2.333,2.947,3.417,2.319,2.529,2.754,5.164,5.516,5.546,3.573,5.342,5.41,4.942,0.559,-0.208,-1.164,-0.783,0.171,-0.277,-0.404,-2.974,1.117,0.253,1.416,-0.915,-0.526,-0.04,3.123,0.538,0.504,1.694,1.795,1.362,1.446,3.509,4.168,3.731,4.256,3.843,3.806,3.921,0.771,2.713,2.559,3.132,1.759,2.025,2.308,5.64,4.223,4.743,3.456,4.912,4.856,4.495,2.026,1.992,2.407,2.73,2.008,2.141,2.291,1.179,2.621,1.327,-0.525,1.915,1.718,1.144,-5.571,-8.926,-4.991,-1.601,-7.294,-6.526,-5.286,4.505,7.033,4.845,4.143,5.781,5.464,5.118,3.695,2.765,4.052,4.129,3.22,3.5,3.663,4.811,3.986,2.749,3.094,4.392,3.835,3.642,0.64,2.086,1.462,1.215,1.373,1.403,1.354,2.814,2.332,2.865,3.371,2.568,2.668,2.85,3.391,3.092,4.095,2.629,3.239,3.527,3.293,2.73,3.013,1.696,3.074,2.874,2.476,2.631,3.442,1.706,1.561,1.796,2.559,2.224,2.113,1.478,3.244,2.822,1.264,2.369,2.52,2.195,1.208,-1.123,-0.187,-0.637,0.021,-0.048,-0.199,-0.872,-18.622,-8.416,-4.316,-9.801,-9.339,-8.057,-3.85,19.901,4.484,1.122,6.93,6.106,4.782,1.827,2.046,,,1.938,,
"D.21-D.31---Impuestos sobre los productos, netos",NA,NA,NA,NA,NA,NA,NA,5.316,10.455,13.402,2.487,7.884,9.695,7.765,0.02,-15.102,-12.871,-8.016,-7.716,-9.465,-9.096,-0.641,8.206,6.749,10.317,3.523,4.576,6.055,2.112,10.239,10.78,6.638,6.11,7.667,7.391,9.73,5.677,2.505,-0.31,7.659,5.891,4.241,2.129,4.314,5.416,5.177,3.225,3.952,4.264,3.755,1.138,6.157,-2.682,2.429,3.684,2.05,4.335,3.353,-3.297,-0.733,3.843,1.382,0.864,-5.517,0.637,1.982,5.805,-2.451,-0.993,0.645,0.521,0.652,1.312,2.956,0.588,0.833,1.371,5.066,4.895,4.372,2.089,4.978,4.772,4.082,2.974,3.56,2.144,3.722,3.275,2.892,3.101,7.599,7.132,7.771,7.598,7.358,7.497,7.523,2.145,1.986,2.743,-0.325,2.063,2.292,1.627,2.598,4.897,3.308,3.707,3.779,3.619,3.641,-6.744,-13.159,-5.676,0.011,-10.076,-8.589,-6.445,3.702,9.28,3.336,0.867,6.5,5.397,4.19,4.466,3.044,3.459,5.248,3.734,3.64,4.055,3.329,1.117,1.572,0.066,2.198,1.985,1.484,-0.458,1.656,1.446,1.025,0.611,0.895,0.928,6.194,5.161,5.068,8.317,5.666,5.462,6.197,3.622,5.145,6.969,7.263,4.397,5.272,5.795,7.692,7.494,7.206,6.707,7.59,7.458,7.258,5.509,4.6,2.846,1.814,5.044,4.285,3.631,2.985,2.852,3.612,3.801,2.917,3.154,3.322,2.498,-1.347,-0.764,-1.039,0.539,0.094,-0.203,-4.264,-22.923,-14.635,-10.749,-13.589,-13.944,-13.115,-8.424,18.71,9.307,7.119,3.672,5.566,5.98,6.733,7.736,,,7.245,,
B.1bV---Valor agregado bruto<C1>,NA,NA,NA,NA,NA,NA,NA,3.262,5.734,5.013,5.265,4.508,4.677,4.827,-1.547,-8.818,-7.318,-6.84,-5.256,-5.945,-6.175,2.447,7.884,8.007,8.948,5.116,6.068,6.802,4.271,8.359,7.679,6.946,6.33,6.782,6.825,8.847,4.986,5.044,2.223,6.864,6.249,5.201,2.311,2.254,2.85,3.347,2.282,2.472,2.693,5.22,5.693,5.521,3.828,5.459,5.48,5.059,0.41,-0.346,-1.077,-0.785,0.028,-0.343,-0.454,-2.87,1.136,0.184,1.248,-0.853,-0.507,-0.067,3.227,0.534,0.471,1.643,1.844,1.383,1.449,3.449,4.138,3.705,4.344,3.799,3.767,3.914,0.684,2.678,2.576,3.109,1.699,1.99,2.276,5.561,4.105,4.619,3.291,4.813,4.748,4.373,2.021,1.992,2.393,2.856,2.006,2.135,2.319,1.121,2.526,1.243,-0.695,1.837,1.639,1.04,-5.522,-8.745,-4.961,-1.668,-7.177,-6.439,-5.237,4.538,6.941,4.909,4.283,5.751,5.466,5.157,3.663,2.753,4.077,4.083,3.199,3.494,3.647,4.872,4.106,2.798,3.22,4.483,3.912,3.732,0.685,2.104,1.463,1.222,1.404,1.424,1.371,2.678,2.218,2.774,3.172,2.443,2.554,2.714,3.382,3.007,3.973,2.432,3.191,3.454,3.188,2.524,2.823,1.456,2.913,2.676,2.264,2.432,3.352,1.578,1.501,1.795,2.45,2.132,2.045,1.41,3.262,2.785,1.147,2.344,2.491,2.143,1.149,-1.113,-0.16,-0.618,-0.002,-0.055,-0.199,-0.716,-18.427,-8.126,-4.013,-9.628,-9.127,-7.823,-3.647,19.952,4.275,0.86,7.072,6.129,4.73,1.62,1.805,,,1.714,,
Actividades primarias,NA,NA,NA,NA,NA,NA,NA,-1.878,6.691,-7.379,2.473,2.453,-0.778,0.115,-1.074,-6.115,9.898,3.862,-3.727,0.452,1.41,10.364,4.48,-0.803,2.226,7.344,4.61,3.924,0.095,3.111,-3.52,0.004,1.602,-0.028,-0.019,4.842,0.758,9.069,-1.086,2.771,4.705,3.065,10.355,-1.515,-3.053,-0.518,4.454,2.052,1.354,-4.417,6.066,-4.55,6.111,0.496,-1.037,0.869,-3.211,7.241,10.111,7.926,1.959,4.349,5.352,2.565,-1.226,-0.77,-3.578,0.593,0.171,-0.907,3.575,3.579,3.853,4.268,3.577,3.661,3.831,6.887,0.861,-3.611,4.476,3.808,1.53,2.358,-6.38,-5.297,4.471,-5.657,-5.842,-2.837,-3.645,3.877,9.534,-1.472,11.76,6.701,4.14,6.279,4.248,5.864,4.908,2.325,5.076,5.026,4.229,-3.133,1.895,-1.882,2.137,-0.537,-0.935,-0.045,-1.082,-1.469,-1.051,-4.262,-1.287,-1.217,-2.119,-1.82,5.741,5.742,0.709,2.172,3.221,2.493,-0.777,-12.521,0.295,-0.805,-7.195,-4.94,-3.764,3.723,12.372,0.234,8.045,8.178,5.656,6.356,0.746,3.637,1.273,2.974,2.293,1.986,2.28,5.257,2.722,5.927,2.012,3.883,4.494,3.75,5.337,1.532,0.064,1.476,3.298,2.317,2.069,0.799,3.028,4.542,5.402,1.974,2.736,3.518,4.907,2.429,1.306,4.492,3.588,2.899,3.375,5.325,2.994,1.414,0.994,4.098,3.301,2.604,1.563,-1.36,1.376,-1.897,0.041,0.431,-0.261,-1.231,-2.967,4.721,1.363,-2.122,-0.108,0.322,-0.991,5.597,-1.256,4.635,2.363,1.246,2.247,1.712,1.447,,,1.573,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",NA,NA,NA,NA,NA,NA,NA,-1.878,6.691,-7.379,2.473,2.453,-0.778,0.115,-1.074,-6.115,9.898,3.862,-3.727,0.452,1.41,10.364,4.48,-0.803,2.226,7.344,4.61,3.924,0.095,3.111,-3.52,0.004,1.602,-0.028,-0.019,4.842,0.758,9.069,-1.086,2.771,4.705,3.065,10.355,-1.515,-3.053,-0.518,4.454,2.052,1.354,-4.417,6.066,-4.55,6.111,0.496,-1.037,0.869,-3.211,7.241,10.111,7.926,1.959,4.349,5.352,2.565,-1.226,-0.77,-3.578,0.593,0.171,-0.907,3.575,3.579,3.853,4.268,3.577,3.661,3.831,6.887,0.861,-3.611,4.476,3.808,1.53,2.358,-6.38,-5.297,4.471,-5.657,-5.842,-2.837,-3.645,3.877,9.534,-1.472,11.76,6.701,4.14,6.279,4.248,5.864,4.908,2.325,5.076,5.026,4.229,-3.133,1.895,-1.882,2.137,-0.537,-0.935,-0.045,-1.082,-1.469,-1.051,-4.262,-1.287,-1.217,-2.119,-1.82,5.741,5.742,0.709,2.172,3.221,2.493,-0.777,-12.521,0.295,-0.805,-7.195,-4.94,-3.764,3.723,12.372,0.234,8.045,8.178,5.656,6.356,0.746,3.637,1.273,2.974,2.293,1.986,2.28,5.257,2.722,5.927,2.012,3.883,4.494,3.75,5.337,1.532,0.064,1.476,3.298,2.317,2.069,0.799,3.028,4.542,5.402,1.974,2.736,3.518,4.907,2.429,1.306,4.492,3.588,2.899,3.375,5.325,2.994,1.414,0.994,4.098,3.301,2.604,1.563,-1.36,1.376,-1.897,0.041,0.431,-0.261,-1.231,-2.967,4.721,1.363,-2.122,-0.108,0.322,-0.991,5.597,-1.256,4.635,2.363,1.246,2.247,1.712,1.447,,,1.573,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura",NA,NA,NA,NA,NA,NA,NA,-2.085,14.164,-10.722,3.301,5.902,0.971,1.643,-0.512,-8.883,24.88,5.509,-4.948,2.874,3.645,13.331,6.426,-0.271,4.12,9.824,6.61,5.868,1.194,6.094,-9.009,-1.568,3.606,-0.151,-0.566,6.959,0.061,15.779,-3.225,3.482,6.819,3.905,12.234,-3.873,-7.627,-1.359,4.383,0.851,0.254,-8.951,8.03,-9.542,6.797,-1.329,-3.542,-0.793,-5.183,9.124,15.925,11.99,1.848,5.404,7.289,4.713,-2.732,-2.938,-5.65,0.793,-0.244,-1.859,2.01,3.835,5.941,5.566,2.937,3.749,4.271,10.537,1.079,-6.059,5.717,5.689,2.446,3.397,-9.153,-9.07,8.41,-9.573,-9.112,-4.677,-6.132,3.295,13.94,-4.948,17.574,8.515,4.639,8.344,4.305,7.708,7.953,2.413,6.057,6.553,5.266,-3.18,1.879,-5.02,4.106,-0.535,-1.723,0.039,-3.28,-2.23,-5.006,-6.983,-2.718,-3.304,-4.461,-4.577,7.263,11.978,-0.063,1.797,4.358,3.003,-0.073,-18.998,-1.919,-2.705,-10.807,-8.408,-6.713,4.28,18,1.011,13.63,11.347,8.36,9.994,1.56,7.448,4.307,4.801,4.774,4.648,4.697,6.98,2.531,9.004,1.735,4.489,5.702,4.43,6.158,1.811,-2.477,0.603,3.77,2.04,1.591,2.615,4.327,7.918,7.591,3.537,4.697,5.592,6.826,3.141,-0.135,5.104,4.825,3.472,3.986,6.835,2.653,0.774,0.706,4.6,3.593,2.673,2.412,-1.888,2.132,-3.049,0.157,0.663,-0.497,-3.737,-4.123,7.061,1.305,-3.936,-1.077,-0.352,-2.251,5.563,-4.085,6.137,1.756,0.113,1.977,1.234,1.366,,,1.304,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales",NA,NA,NA,NA,NA,NA,NA,-0.933,-3.699,-5.158,-1.883,-2.399,-3.45,-3.046,-2.386,-1.066,-6.975,1.424,-1.696,-3.671,-2.343,3.889,0.65,-2.766,-1.493,2.184,0.396,-0.115,-1.446,-3.099,4.011,1.959,-2.303,-0.094,0.454,2.558,3.239,1.78,3.032,2.908,2.497,2.642,6.198,2.559,2.581,2.558,4.321,3.692,3.383,3.755,3.006,1.309,4.735,3.375,2.636,3.202,3.206,5.294,5.546,1.418,4.261,4.715,3.812,0.752,1.61,3.897,2.315,1.19,2.153,2.197,3.834,3.65,0.57,0.379,3.74,2.592,1.999,3.33,0.832,-0.349,2.359,2.051,1.199,1.505,0.114,1.805,0.311,1.354,0.969,0.739,0.902,3.727,2.546,2.969,4.855,3.125,3.07,3.547,2.667,3.639,3.382,1.021,3.16,3.237,2.638,-0.253,1.186,2.05,0.601,0.48,1.027,0.914,1.841,1.517,3.434,1.314,1.675,2.294,2.034,1.686,1.951,-0.079,1.036,1.822,1.146,1.117,1.174,-0.481,2.517,1.738,0.325,1.095,1.265,2.35,4.173,-0.744,-0.083,3.277,1.845,1.335,-0.829,-2.434,-2.233,-0.985,-1.653,-1.854,-1.628,0.553,2.058,1.589,1.994,1.319,1.412,1.565,1.509,1.389,2.511,1.478,1.447,1.816,1.727,-0.371,-0.679,-0.897,0.199,-0.529,-0.657,-0.432,0.836,0.925,3.313,3.086,0.881,1.727,2.087,2.9,2.312,1.422,2.357,2.599,2.183,2.229,1.549,2.076,2.637,2.715,1.818,2.105,2.268,2.915,2.314,4.017,3.039,2.607,3.104,3.087,2.047,2.974,1.389,2.478,2.52,2.118,2.214,2.747,2.646,,,2.695,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113---Aprovechamiento forestal",NA,NA,NA,NA,NA,NA,NA,-7.762,0.003,3.487,17.202,-3.964,-1.535,3.006,-4.761,-6.023,-5.565,-9.464,-5.404,-5.459,-6.563,14.403,0.175,6.25,5.304,7.204,6.878,6.457,0.571,9.921,3.966,10.015,4.992,4.642,6.062,2.279,4.702,8.289,6.442,3.478,5.105,5.471,9.937,6.837,3.232,-10.093,8.385,6.59,1.975,12.26,4.93,2.514,10.138,8.641,6.574,7.443,-14.57,-4.22,-4.762,-1.816,-9.635,-8.054,-6.494,-9.006,-2.794,-6.522,-12.072,-5.866,-6.087,-7.658,17.681,-1.462,-5.783,6.344,7.69,3.183,3.973,-12.252,-4.386,-0.44,2.85,-8.496,-6.035,-3.763,-13.015,-5.267,-1.473,8.955,-9.149,-6.664,-2.396,12.068,8.387,-1.907,-12.274,10.153,6.032,0.448,17.712,3.469,-4.91,9.048,10.42,5.574,6.499,-15.919,3.097,5.899,-12.531,-6.796,-3.182,-5.732,2.261,-8.912,1.08,-3.045,-3.668,-2.19,-2.406,-8.39,2.358,-2.158,8.397,-2.996,-2.726,0.07,-6.469,1.076,-1.424,1.187,-2.474,-2.134,-1.229,6.568,3.665,0.949,-4.682,4.975,3.662,1.334,-0.188,-4.041,-3.193,-0.096,-2.276,-2.567,-1.919,1.033,-1.543,3.273,-3.715,-0.338,0.801,-0.406,7.693,2.194,0.724,2.68,4.802,3.484,3.276,-4.196,2.421,9.149,11.506,-0.804,2.327,4.686,14.099,10.514,7.36,1.332,12.201,10.577,8.046,-0.218,-1.617,-0.091,1.08,-0.947,-0.668,-0.22,2.097,0.325,-0.375,-0.861,1.179,0.67,0.272,3.717,-18.464,-3.449,1.742,-7.671,-6.302,-4.233,-5.08,27.267,2.756,-3.05,9.586,7.304,4.475,-2.115,-5.286,,,-3.784,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura",NA,NA,NA,NA,NA,NA,NA,0.19,-6.934,-0.499,11.936,-3.684,-2.698,1.104,9.558,-0.956,26.885,11.801,4.033,11.27,11.423,11.163,12.983,-0.802,0.002,12.073,7.423,5.281,-8.022,0.722,2.01,-8.057,-3.612,-1.737,-3.47,-16.319,-16.178,-18.005,-1.997,-16.245,-16.854,-12.975,9.013,-8.305,13.546,2.545,-0.122,4.544,3.957,-2.099,-0.063,0.935,2.183,-1.113,-0.354,0.382,-5.49,8.477,3.169,10.299,1.346,2.031,4.472,-5.938,5.862,-7.658,-6.199,0.243,-2.758,-3.83,12.237,-0.532,22.853,12.558,5.173,11.55,11.856,-2.799,5.01,-9.304,0.373,1.287,-2.92,-1.913,-2.889,0.38,1.124,-13.933,-1.116,-0.285,-4.558,6.619,-0.397,5.592,4.931,2.756,3.823,4.136,2.692,-10.168,-10.79,5.934,-4.172,-6.705,-3.109,-17.042,11.345,-7.949,-8.493,-2.838,-4.709,-5.886,13.875,-7.261,2.642,2.732,1.756,2.069,2.27,34.018,23.948,-3.174,3.175,28.756,17.404,13.081,-32.717,-13.279,13.053,4.815,-22.938,-12.386,-7.618,7.755,6.349,-1.539,-3.653,6.959,3.744,1.418,2.718,-2.889,4.593,11.903,-0.438,1.369,4.516,36.623,26.823,13.542,14.272,31.242,24.684,21.354,34.672,-4.384,15.753,25.587,13.951,14.559,17.881,-11.036,15.257,8.408,-0.966,0.669,3.307,1.936,-4.02,-9.175,-4.737,-2.553,-6.647,-5.964,-4.901,2.652,28.643,14.32,-6.189,15.541,15.098,8.298,-20.727,-25.06,-21.196,-16.164,-23.119,-22.427,-20.694,8.264,-14.298,-16.779,-12.675,-3.879,-8.596,-9.789,4.218,15.201,16.949,6.037,9.488,11.972,10.291,2.717,-1.307,,,0.685,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|115---Servicios relacionados con las actividades agropecuarias y forestales",NA,NA,NA,NA,NA,NA,NA,37.159,17.296,46.657,55.161,28.529,34.633,40.728,-12.286,-13.288,76.944,65.927,-12.683,20.191,35.163,13.908,44.337,19.446,-18.29,25.889,22.41,6.054,-9.437,-28.932,-26.509,64.293,-18.238,-22.596,4.306,6.635,6.671,49.885,-42.805,6.649,28.279,-6.387,15.789,-5.042,-35.672,-19.449,7.613,-17.689,-18.213,-31.045,-12.42,-27.885,-9.524,-24.595,-26.098,-21.234,-7.229,-6.111,1.612,12.86,-6.779,-3.038,2.321,-8.918,5.451,-52.026,-20.882,-3.097,-25.955,-24.069,104.705,132.657,158.012,80.614,117.028,129.433,110.52,-3.852,1.787,23.954,20.728,-1.187,7.37,11.81,-1.771,-5.096,2.531,-2.349,-3.389,-1.063,-1.524,25.691,8.446,-6.65,2.231,17.444,7.633,5.71,-3.918,5.278,-12.078,8.021,0.143,-4.173,0.024,-16.065,4.599,-8.882,4.216,-6.472,-7.253,-2.99,6.011,-11.174,6.633,-21.482,-2.911,0.127,-8.501,14.774,10.051,-3.431,24.831,12.53,7.119,13.188,-7.973,-6.336,11.804,46.091,-7.212,-1.4,16.546,-1.308,10.842,8.644,-3.936,4.389,5.864,1.222,24.063,6.027,-11.362,-16.081,15.083,5.677,-4.104,45.372,-0.366,-2.839,17.929,24.391,16.268,16.921,-6.034,-3.851,-4.472,-20.093,-5.232,-5.042,-11.014,-44.17,8.995,10.306,30.317,-24.351,-15.659,0.723,15.335,3.7,12.499,64.434,9.086,10.205,35.205,21.566,1.124,-2.739,5.249,11.129,6.485,5.792,1.395,-4.065,5.965,-18.58,-1.141,1.032,-9.907,16.403,-7.871,-19.948,-17.653,5.459,-2.691,-10.233,-29.164,13.641,5.978,-24.365,-12.304,-7.479,-15.288,35.017,-5.094,,,14.544,,
