Descriptores,1993|T1,1993|T2,1993|T3,1993|T4,1993|6 Meses,1993|9 Meses,1993|Anual,1994|T1,1994|T2,1994|T3,1994|T4,1994|6 Meses,1994|9 Meses,1994|Anual,1995|T1,1995|T2,1995|T3,1995|T4,1995|6 Meses,1995|9 Meses,1995|Anual,1996|T1,1996|T2,1996|T3,1996|T4,1996|6 Meses,1996|9 Meses,1996|Anual,1997|T1,1997|T2,1997|T3,1997|T4,1997|6 Meses,1997|9 Meses,1997|Anual,1998|T1,1998|T2,1998|T3,1998|T4,1998|6 Meses,1998|9 Meses,1998|Anual,1999|T1,1999|T2,1999|T3,1999|T4,1999|6 Meses,1999|9 Meses,1999|Anual,2000|T1,2000|T2,2000|T3,2000|T4,2000|6 Meses,2000|9 Meses,2000|Anual,2001|T1,2001|T2,2001|T3,2001|T4,2001|6 Meses,2001|9 Meses,2001|Anual,2002|T1,2002|T2,2002|T3,2002|T4,2002|6 Meses,2002|9 Meses,2002|Anual,2003|T1,2003|T2,2003|T3,2003|T4,2003|6 Meses,2003|9 Meses,2003|Anual,2004|T1,2004|T2,2004|T3,2004|T4,2004|6 Meses,2004|9 Meses,2004|Anual,2005|T1,2005|T2,2005|T3,2005|T4,2005|6 Meses,2005|9 Meses,2005|Anual,2006|T1,2006|T2,2006|T3,2006|T4,2006|6 Meses,2006|9 Meses,2006|Anual,2007|T1,2007|T2,2007|T3,2007|T4,2007|6 Meses,2007|9 Meses,2007|Anual,2008|T1,2008|T2,2008|T3,2008|T4,2008|6 Meses,2008|9 Meses,2008|Anual,2009|T1,2009|T2,2009|T3,2009|T4,2009|6 Meses,2009|9 Meses,2009|Anual,2010|T1,2010|T2,2010|T3,2010|T4,2010|6 Meses,2010|9 Meses,2010|Anual,2011|T1,2011|T2,2011|T3,2011|T4,2011|6 Meses,2011|9 Meses,2011|Anual,2012|T1,2012|T2,2012|T3,2012|T4,2012|6 Meses,2012|9 Meses,2012|Anual,2013|T1,2013|T2,2013|T3,2013|T4,2013|6 Meses,2013|9 Meses,2013|Anual,2014|T1,2014|T2,2014|T3,2014|T4,2014|6 Meses,2014|9 Meses,2014|Anual,2015|T1,2015|T2,2015|T3,2015|T4,2015|6 Meses,2015|9 Meses,2015|Anual,2016|T1,2016|T2,2016|T3,2016|T4,2016|6 Meses,2016|9 Meses,2016|Anual,2017|T1,2017|T2,2017|T3,2017|T4,2017|6 Meses,2017|9 Meses,2017|Anual,2018|T1,2018|T2,2018|T3,2018|T4,2018|6 Meses,2018|9 Meses,2018|Anual,2019|T1,2019|T2,2019|T3,2019|T4,2019|6 Meses,2019|9 Meses,2019|Anual,2020|T1<P>,2020|T2<P>,2020|T3<P>,2020|T4<P>,2020|6 Meses<P>,2020|9 Meses<P>,2020|Anual<P>,2021|T1<P>,2021|T2<P>,2021|T3<P>,2021|T4<P>,2021|6 Meses<P>,2021|9 Meses<P>,2021|Anual<P>,2022|T1<R>,2022|T2<P>,2022|T3,2022|T4,2022|6 Meses,2022|9 Meses,2022|Anual
B.1bP---Producto interno bruto<C1>,15.008,15.277,15.435,15.655,15.144,15.241,15.347,16.144,16.521,16.785,17.314,16.337,16.486,16.699,19.711,22.934,24.05,25.819,21.291,22.199,23.122,27.38,28.631,29.645,31.255,28.01,28.558,29.26,33.082,34.056,35.07,36.616,33.582,34.085,34.745,38.16,39.279,40.676,42.259,38.724,39.376,40.106,44.322,45.902,47.431,48.523,45.119,45.894,46.564,50.389,51.256,52.301,53.052,50.827,51.322,51.757,54.488,54.731,55.213,55.102,54.61,54.811,54.884,56.295,57.833,58.578,58.839,57.085,57.586,57.904,60.496,59.779,59.989,60.708,60.132,60.084,60.243,62.983,64.681,65.812,66.611,63.847,64.501,65.04,67.849,68.371,69.469,69.699,68.117,68.569,68.86,71.594,73.179,74.145,74.064,72.403,72.984,73.26,75.894,76.611,77.917,79.495,76.26,76.814,77.501,80.902,82.678,83.346,82.165,81.814,82.325,82.284,84.751,85.224,85.707,86.38,84.99,85.233,85.533,88.947,88.558,89.442,90.673,88.748,88.982,89.42,93.336,93.271,94.305,97.494,93.303,93.642,94.645,98.676,98.026,98.859,98.422,98.347,98.518,98.493,100.308,99.001,100.108,100.58,99.641,99.798,100,103.763,104.087,104.871,104.995,103.928,104.245,104.44,106.401,107.186,107.838,108.119,106.8,107.15,107.401,110.525,112.395,114.395,116.178,111.476,112.455,113.421,120.081,120.591,121.366,122.048,120.338,120.681,121.034,125.832,126.675,127.089,128.425,126.261,126.538,127.021,131.294,132.104,132.72,132.896,131.702,132.041,132.259,136.625,134.435,139.592,140.063,135.631,136.966,137.788,144.583,145.866,148.655,150.969,145.236,146.371,147.549,156.143,159.049,,,157.623,,
"D.21-D.31---Impuestos sobre los productos, netos",17.662,17.565,17.201,17.082,17.614,17.478,17.372,20.16,19.368,19.343,21.171,19.755,19.615,20.012,18.707,24.41,25.392,30.896,21.391,22.697,24.809,28.981,28.634,31.31,32.834,28.81,29.643,30.498,37.225,37.186,40.468,46.184,37.205,38.324,40.416,47.564,50.176,53.63,58.593,48.874,50.453,52.524,61.454,61.036,61.815,64.271,61.242,61.435,62.163,64.983,63.039,61.943,65.886,64.01,63.298,63.931,69.086,66.236,70.689,81.087,67.666,68.66,71.654,78.833,77.632,75.451,78.869,78.216,77.279,77.682,84.076,75.673,78.078,75.487,79.754,79.184,78.233,81.243,74.874,69.834,72.858,77.97,75.212,74.618,78.386,70.758,71.365,73.203,74.455,73.415,73.361,75.794,68.883,64.967,66.593,72.24,69.787,68.975,81.918,71.644,69.297,74.071,76.639,74.151,74.131,60.839,47.898,43.269,55.849,54.118,50.453,51.798,102.077,91.16,83.813,77.236,96.601,92.144,88.171,97.73,81.653,91.328,93.827,89.456,90.096,91.058,96.681,68.612,72.943,88.158,82.331,79.128,81.485,77.895,64.822,86.972,77.308,71.282,76.613,76.792,110.479,81.133,104.29,104.352,95.481,98.49,100,138.219,127.097,133.416,137.97,132.562,132.853,134.197,162.827,147.652,151.095,141.788,155.053,153.685,150.516,167.074,166.432,173.348,152.177,166.745,169.023,164.559,156.262,155.574,168.706,132.191,155.911,160.265,152.956,178.466,162.708,153.252,143.913,170.44,164.565,159.164,187.684,174.836,174.62,163.421,181.263,179.012,174.968,222.628,186.689,213.679,202.743,206.606,208.984,207.321,234.308,200.948,208.25,173.897,217.28,214.137,203.301,198.347,169.977,,,183.799,,
B.1bV---Valor agregado bruto<C1>,14.901,15.186,15.366,15.594,15.045,15.152,15.265,15.979,16.404,16.676,17.156,16.195,16.356,16.561,19.753,22.877,23.997,25.612,21.287,22.179,23.054,27.315,28.631,29.579,31.19,27.978,28.515,29.211,32.917,33.932,34.852,36.223,33.439,33.916,34.517,37.783,38.847,40.165,41.605,38.32,38.936,39.612,43.636,45.29,46.85,47.882,44.47,45.268,45.934,49.813,50.8,51.909,52.562,50.312,50.848,51.279,53.89,54.269,54.598,54.109,54.081,54.253,54.217,55.397,57.042,57.895,58.039,56.242,56.796,57.112,59.58,59.143,59.251,60.111,59.359,59.323,59.523,62.263,64.271,65.647,66.364,63.284,64.069,64.656,67.425,68.274,69.392,69.559,67.861,68.372,68.678,71.421,73.358,74.532,74.374,72.409,73.118,73.438,75.646,76.818,78.281,79.713,76.244,76.925,77.64,81.74,84.165,85.075,83.269,82.985,83.681,83.577,84.037,84.982,85.788,86.77,84.514,84.945,85.422,88.588,88.845,89.362,90.543,88.719,88.936,89.352,93.198,94.299,95.2,97.884,93.758,94.246,95.193,99.519,99.371,99.351,99.276,99.444,99.413,99.378,99.9,99.721,99.935,100.427,99.809,99.851,100,102.332,103.132,103.662,103.597,102.74,103.049,103.192,104.053,105.473,105.953,106.624,104.774,105.172,105.547,108.053,110.003,111.681,114.521,109.045,109.928,111.118,118.467,118.996,119.158,121.581,118.734,118.875,119.575,123.447,125.04,125.859,127.693,124.257,124.792,125.534,128.704,130.169,130.761,131.46,129.442,129.882,130.284,132.817,132.199,136.374,137.32,132.536,133.83,134.756,140.808,143.533,145.942,149.904,142.195,143.436,145.089,154.278,158.559,,,156.458,,
Actividades primarias,21.387,21.413,21.43,21.819,21.4,21.41,21.522,22.13,22.265,22.249,22.23,22.201,22.216,22.22,23.865,25.953,27.858,30.541,24.937,25.917,27.248,34.755,38.644,40.46,41.719,36.698,37.895,38.978,43.604,44.899,46.566,45.835,44.261,44.969,45.214,47.243,48.719,50.77,52.159,47.976,48.87,49.764,52.92,51.243,51.523,51.571,52.134,51.948,51.848,51.746,53.444,56.042,55.478,52.586,53.599,54.126,54.433,55.039,56.801,56.029,54.749,55.383,55.569,54.992,55.844,58.17,58.772,55.427,56.268,56.968,58.593,59.291,60.435,60.942,58.949,59.405,59.837,63.62,62.796,66.282,66.012,63.211,64.106,64.652,65.543,67.777,69.286,65.373,66.658,67.482,66.89,68.471,68.554,70.176,72.47,68.513,69.006,70.029,74.08,73.574,75.995,77.035,73.819,74.463,75.209,78.437,79.615,79.126,83.061,79.06,79.079,80.258,84.199,83.721,81.796,81.536,83.947,83.315,82.8,85.831,87.11,87.828,91.303,86.53,86.921,88.168,95.1,96.453,95.787,97.995,95.797,95.794,96.44,99.842,99.799,100.808,101.423,99.819,100.117,100.506,100.898,102.579,97.368,98.879,101.809,100.481,100,101.318,103.03,104.309,104.386,102.236,102.864,103.313,108.161,109.108,109.949,110.843,108.66,109.042,109.57,116.668,120.321,120.16,123.082,118.613,119.08,120.275,122.881,129.694,129.4,129.838,126.467,127.339,128.093,133.329,132.863,131.052,137.568,133.086,132.493,134.001,137.912,141.141,139.593,140.749,139.57,139.577,139.92,145.02,150.759,149.707,150.906,147.941,148.486,149.201,152.764,164.013,165.505,173.735,158.671,160.728,164.658,178.214,188.891,,,183.814,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",21.387,21.413,21.43,21.819,21.4,21.41,21.522,22.13,22.265,22.249,22.23,22.201,22.216,22.22,23.865,25.953,27.858,30.541,24.937,25.917,27.248,34.755,38.644,40.46,41.719,36.698,37.895,38.978,43.604,44.899,46.566,45.835,44.261,44.969,45.214,47.243,48.719,50.77,52.159,47.976,48.87,49.764,52.92,51.243,51.523,51.571,52.134,51.948,51.848,51.746,53.444,56.042,55.478,52.586,53.599,54.126,54.433,55.039,56.801,56.029,54.749,55.383,55.569,54.992,55.844,58.17,58.772,55.427,56.268,56.968,58.593,59.291,60.435,60.942,58.949,59.405,59.837,63.62,62.796,66.282,66.012,63.211,64.106,64.652,65.543,67.777,69.286,65.373,66.658,67.482,66.89,68.471,68.554,70.176,72.47,68.513,69.006,70.029,74.08,73.574,75.995,77.035,73.819,74.463,75.209,78.437,79.615,79.126,83.061,79.06,79.079,80.258,84.199,83.721,81.796,81.536,83.947,83.315,82.8,85.831,87.11,87.828,91.303,86.53,86.921,88.168,95.1,96.453,95.787,97.995,95.797,95.794,96.44,99.842,99.799,100.808,101.423,99.819,100.117,100.506,100.898,102.579,97.368,98.879,101.809,100.481,100,101.318,103.03,104.309,104.386,102.236,102.864,103.313,108.161,109.108,109.949,110.843,108.66,109.042,109.57,116.668,120.321,120.16,123.082,118.613,119.08,120.275,122.881,129.694,129.4,129.838,126.467,127.339,128.093,133.329,132.863,131.052,137.568,133.086,132.493,134.001,137.912,141.141,139.593,140.749,139.57,139.577,139.92,145.02,150.759,149.707,150.906,147.941,148.486,149.201,152.764,164.013,165.505,173.735,158.671,160.728,164.658,178.214,188.891,,,183.814,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura",22.287,22.69,23.147,22.838,22.485,22.681,22.727,22.784,22.818,23.199,22.696,22.802,22.906,22.844,23.392,24.898,27.062,29.579,24.157,25.082,26.422,32.264,37.136,39.096,39.499,34.662,35.983,37.013,40.553,41.535,42.871,42.241,41.048,41.543,41.745,44.111,45.907,47.602,50.605,44.987,45.756,47.066,51.452,48.79,48.403,48.264,50.257,49.758,49.361,47.135,48.745,51.304,51.319,47.926,48.78,49.506,49.237,49.42,51.483,51.962,49.333,49.931,50.537,50.526,51.424,54.162,55.672,50.982,51.842,52.942,53.351,54.573,56.046,57.393,53.978,54.549,55.376,59.958,58.798,60.381,61.098,59.389,59.64,60.074,58.172,61.469,61.932,59.628,59.789,60.406,60.183,62.496,63.59,66.181,70.543,63.059,63.875,65.948,72.213,71.762,76.375,78.863,71.977,73.142,74.872,79.27,80.6,82.817,84.981,79.983,80.708,82.053,84.938,86.085,88.198,85.05,85.556,86.22,85.862,89.515,90.244,92.088,97.235,89.928,90.511,92.51,104.274,105.82,108.184,105.999,105.07,105.97,105.979,107.87,107.435,107.681,103.783,107.632,107.646,106.409,101.605,100.602,98.611,99.173,101.044,100.39,100,98.844,98.507,98.381,100.775,98.658,98.582,99.267,101.23,103.872,105.67,109.12,102.654,103.452,105.205,115.688,117.435,120.132,123.686,116.637,117.59,119.511,123.699,130.077,134.157,132.466,127.107,128.964,130.079,131.963,132.119,135.051,139.822,132.045,132.815,135.004,141.126,139.581,141.941,142.724,140.332,140.75,141.351,149.124,154.174,155.279,154.666,151.713,152.716,153.32,156.35,170.938,176.102,183.185,164.109,167.341,172.444,187.967,197.492,,,193.036,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales",18.425,18.078,18.306,18.96,18.241,18.266,18.445,19.597,19.804,20.104,20.131,19.705,19.854,19.926,22.937,26.026,27.243,30.641,24.563,25.531,26.914,37.846,40.079,41.55,45.876,39.003,39.894,41.491,49.294,50.391,50.463,51.131,49.858,50.078,50.364,52.123,51.659,53.128,52.534,51.884,52.334,52.388,53.297,52.102,52.206,53.635,52.691,52.517,52.819,56.661,58.193,57.459,57.526,57.435,57.443,57.466,58.386,60.427,58.816,58.449,59.428,59.21,59.006,58.264,57.916,57.774,58.692,58.086,57.973,58.165,61.711,62.109,60.837,62.594,61.915,61.532,61.812,67.259,66.568,69.454,71.091,66.91,67.799,68.674,74.627,74.428,74.722,70.716,74.526,74.594,73.558,75.284,73.731,71.015,72.038,74.497,73.286,72.949,72.14,72.579,71.453,68.692,72.364,72.047,71.154,72.727,73.785,71.75,75.435,73.27,72.735,73.452,78.766,76.614,72.789,72.91,77.664,75.93,75.135,78.384,78.838,81.235,78.689,78.617,79.537,79.313,79.402,80.123,79.886,82.855,79.769,79.811,80.616,86.84,85.346,92.371,96.866,86.073,88.26,90.504,99.997,107.342,95.027,97.966,103.736,100.724,100,106.318,113.573,113.55,113.685,110.039,111.255,111.896,123.107,121.221,116.441,116.41,122.14,120.152,119.168,121.102,128.707,121.447,124.187,124.994,123.76,123.873,123.058,131.287,124.516,126.075,127.271,126.298,126.238,139.659,137.713,127.33,134.539,138.666,134.689,134.649,132.919,146.489,136.927,136.869,139.865,138.829,138.302,138.38,144.907,142.27,143.519,141.711,141.91,142.342,146.931,152.385,152.595,154.275,149.727,150.74,151.692,161.781,174.274,,,168.182,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113---Aprovechamiento forestal",26.195,26.488,26.792,26.989,26.338,26.486,26.608,27.23,27.329,26.624,26.319,27.28,27.055,26.852,29.1,31.312,33.416,37.355,30.219,31.313,32.928,41.578,43.619,43.857,43.233,42.543,42.99,43.055,45.901,48.588,49.412,53.001,47.231,47.968,49.348,55.147,56.549,60.472,59.868,55.849,57.46,58.126,63.953,64.385,64.909,67.606,64.167,64.417,65.195,68.255,70.191,73.125,79.421,69.179,70.459,72.7,82.911,83.841,82.097,83.061,83.381,82.95,82.979,84.034,87.093,86.912,87.593,85.631,86.06,86.443,89.822,86.818,86.443,86.766,88.388,87.793,87.531,86.782,85.686,91.316,91.861,86.235,87.879,88.967,94.854,92.65,95.222,90.067,93.707,94.225,92.957,96.661,96.856,96.22,94.928,96.761,96.59,96.147,100.744,98.459,99.391,99.363,99.648,99.575,99.517,103.619,101.237,96.804,102.323,102.355,100.626,101.056,107.235,97.265,91.236,87.865,102.232,98.693,95.971,93.882,99.27,97.467,100.112,96.735,96.972,97.827,101.494,101.463,101.506,98.198,101.477,101.486,100.569,96.851,99.556,102.417,101.599,98.317,99.619,100.139,99.878,98.922,101.621,99.781,99.37,100.08,100,102.286,103.041,105.33,103.401,102.683,103.539,103.503,103.467,104.937,108.59,107.426,104.221,105.595,106.066,107.905,107.896,111.821,111.837,107.9,109.216,109.933,112.649,112.478,115.423,112.776,112.56,113.493,113.309,114.094,113.15,116.201,119.052,113.605,114.456,115.651,117.837,116.776,119.863,118.767,117.292,118.126,118.291,119.835,122.039,127.152,126.944,120.834,122.945,124.037,126.631,126.599,131.43,134.331,126.614,128.155,129.721,142.157,147.905,,,145.136,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura",27.349,27.755,28.249,26.707,27.57,27.78,27.501,29.029,30.536,30.51,29.518,29.821,30.039,29.889,35.969,39.753,40.5,40.428,37.862,38.815,39.281,46.726,47.733,48.584,46.271,47.234,47.684,47.297,50.956,55.866,57.247,59.08,53.544,54.826,55.937,61.27,69.414,70.811,70.962,65.566,67.357,68.417,71.138,76.237,76.322,75.586,73.608,74.614,74.896,77.541,82.16,83.793,85.542,79.802,81.301,82.553,82.774,83.877,84.281,83.652,83.352,83.705,83.688,84.379,87.192,89.626,91.769,85.935,87.266,88.635,92.81,97.975,91.225,83.807,95.512,93.809,90.749,79.246,78.789,86.107,85.629,78.998,81.636,82.886,92.537,88.726,93.764,89.092,90.438,91.69,90.956,84.933,82.17,88.38,95.647,83.458,85.342,88.274,100.545,97.985,100.242,96.569,99.264,99.622,98.672,98.237,93.628,93.126,100.108,95.594,94.722,96.351,105.711,96.644,92.217,92.742,100.973,97.86,96.305,90.211,90.488,89.354,87.56,90.35,90.058,89.366,89.585,92.129,95.477,96.585,91.025,92.709,93.928,94.535,95.653,94.461,93.866,95.164,94.912,94.6,97.648,100.58,100.995,100.21,99.258,99.901,100,95.063,92.501,93.795,94.356,93.704,93.735,93.922,98.603,104.561,104.689,100.202,101.255,102.426,101.712,100.31,116.118,116.704,113.242,108.367,111.35,111.94,116.28,126.884,124.733,124.61,121.538,122.696,123.308,122.147,126.32,127.344,136.381,124.451,125.492,128.506,144.022,155.964,159.037,164.744,150.449,153.589,156.853,164.827,176.068,174.723,174.364,170.221,171.72,172.469,177.239,183.293,188.501,193.152,180.296,183.149,185.872,198.533,204.462,,,201.467,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|115---Servicios relacionados con las actividades agropecuarias y forestales",16.216,17.193,17.061,17.032,16.641,16.782,16.856,16.939,17.528,17.38,18.111,17.173,17.249,17.531,21.394,22.245,31.272,30.18,21.729,26.882,28.207,28.641,31.03,32.484,34.597,29.72,31.176,32.236,34.65,35.684,38.612,37.566,35.056,36.835,37.191,38.019,40.79,38.433,37.953,39.107,38.713,38.487,41.809,46.284,34.934,35.958,43.359,39.51,38.468,45.95,50.355,39.712,43.702,47.721,44.151,44,50.973,55.722,41.062,37.619,52.897,47.368,43.743,51.591,57.977,57.278,44.463,54.406,55.275,51.087,79.768,80.946,76.665,76.376,80.324,79.079,78.181,78.766,79.067,80.198,77.248,78.912,79.418,78.639,82.724,86.576,80.724,80.499,84.566,83.001,82.111,84.572,89.671,85.162,82.633,86.824,86.237,84.997,92.423,91.647,89.631,86.888,92.063,91.275,89.644,93.638,93.027,91.137,89.615,93.321,92.625,91.423,97.728,92.703,87.818,87.347,95.341,92.79,90.925,89.853,94.777,94.323,96.847,92.141,92.808,94.334,104.267,101.173,99.154,95.282,102.816,101.547,98.579,97.478,97.697,103.021,99.929,97.587,99.52,99.704,96.868,102.126,100.095,100.736,99.28,99.523,100,97.572,102.45,105.922,105.131,99.364,100.999,102.639,103.085,102.403,104.167,105.531,102.831,103.166,104.009,105.704,110.879,113.086,113.337,108.483,109.993,111.534,110.421,117.892,120.095,119.185,114.235,116.198,117.873,119.465,120.896,121.132,126.4,120.13,120.436,123.763,122.28,128.789,127.46,128.478,125.215,125.935,127.217,122.977,131.757,136.159,137.731,126.435,129.001,133.038,134.749,143.636,150.403,156.927,139.285,142.645,148.542,153.43,164.537,,,158.127,,
