Descriptores,1993|T1,1993|T2,1993|T3,1993|T4,1993|6 Meses,1993|9 Meses,1993|Anual,1994|T1,1994|T2,1994|T3,1994|T4,1994|6 Meses,1994|9 Meses,1994|Anual,1995|T1,1995|T2,1995|T3,1995|T4,1995|6 Meses,1995|9 Meses,1995|Anual,1996|T1,1996|T2,1996|T3,1996|T4,1996|6 Meses,1996|9 Meses,1996|Anual,1997|T1,1997|T2,1997|T3,1997|T4,1997|6 Meses,1997|9 Meses,1997|Anual,1998|T1,1998|T2,1998|T3,1998|T4,1998|6 Meses,1998|9 Meses,1998|Anual,1999|T1,1999|T2,1999|T3,1999|T4,1999|6 Meses,1999|9 Meses,1999|Anual,2000|T1,2000|T2,2000|T3,2000|T4,2000|6 Meses,2000|9 Meses,2000|Anual,2001|T1,2001|T2,2001|T3,2001|T4,2001|6 Meses,2001|9 Meses,2001|Anual,2002|T1,2002|T2,2002|T3,2002|T4,2002|6 Meses,2002|9 Meses,2002|Anual,2003|T1,2003|T2,2003|T3,2003|T4,2003|6 Meses,2003|9 Meses,2003|Anual,2004|T1,2004|T2,2004|T3,2004|T4,2004|6 Meses,2004|9 Meses,2004|Anual,2005|T1,2005|T2,2005|T3,2005|T4,2005|6 Meses,2005|9 Meses,2005|Anual,2006|T1,2006|T2,2006|T3,2006|T4,2006|6 Meses,2006|9 Meses,2006|Anual,2007|T1,2007|T2,2007|T3,2007|T4,2007|6 Meses,2007|9 Meses,2007|Anual,2008|T1,2008|T2,2008|T3,2008|T4,2008|6 Meses,2008|9 Meses,2008|Anual,2009|T1,2009|T2,2009|T3,2009|T4,2009|6 Meses,2009|9 Meses,2009|Anual,2010|T1,2010|T2,2010|T3,2010|T4,2010|6 Meses,2010|9 Meses,2010|Anual,2011|T1,2011|T2,2011|T3,2011|T4,2011|6 Meses,2011|9 Meses,2011|Anual,2012|T1,2012|T2,2012|T3,2012|T4,2012|6 Meses,2012|9 Meses,2012|Anual,2013|T1,2013|T2,2013|T3,2013|T4,2013|6 Meses,2013|9 Meses,2013|Anual,2014|T1,2014|T2,2014|T3,2014|T4,2014|6 Meses,2014|9 Meses,2014|Anual,2015|T1,2015|T2,2015|T3,2015|T4,2015|6 Meses,2015|9 Meses,2015|Anual,2016|T1,2016|T2,2016|T3,2016|T4,2016|6 Meses,2016|9 Meses,2016|Anual,2017|T1,2017|T2,2017|T3,2017|T4,2017|6 Meses,2017|9 Meses,2017|Anual,2018|T1,2018|T2,2018|T3,2018|T4,2018|6 Meses,2018|9 Meses,2018|Anual,2019|T1,2019|T2,2019|T3,2019|T4,2019|6 Meses,2019|9 Meses,2019|Anual,2020|T1<P>,2020|T2<P>,2020|T3<P>,2020|T4<P>,2020|6 Meses<P>,2020|9 Meses<P>,2020|Anual<P>,2021|T1<P>,2021|T2<P>,2021|T3<P>,2021|T4<P>,2021|6 Meses<P>,2021|9 Meses<P>,2021|Anual<P>,2022|T1<R>,2022|T2<P>,2022|T3,2022|T4,2022|6 Meses,2022|9 Meses,2022|Anual
B.1bP---Producto interno bruto<C1>,NA,NA,NA,NA,NA,NA,NA,7.568,8.148,8.741,10.601,7.878,8.173,8.811,22.092,38.815,43.288,49.118,30.325,34.65,38.465,38.91,24.839,23.261,21.055,31.559,28.645,26.546,20.825,18.947,18.303,17.153,19.893,19.356,18.745,15.349,15.337,15.984,15.411,15.313,15.523,15.43,16.147,16.861,16.607,14.824,16.513,16.553,16.103,13.69,11.664,10.267,9.333,12.652,11.826,11.152,8.134,6.781,5.567,3.864,7.444,6.798,6.041,3.317,5.667,6.095,6.782,4.531,5.063,5.503,7.461,3.365,2.408,3.177,5.338,4.339,4.039,4.112,8.201,9.707,9.723,6.179,7.35,7.962,7.726,5.705,5.557,4.636,6.688,6.308,5.874,5.519,7.032,6.731,6.263,6.291,6.439,6.389,6.006,4.689,5.087,7.332,5.327,5.248,5.789,6.599,7.919,6.968,3.358,7.284,7.174,6.173,4.757,3.08,2.833,5.13,3.881,3.532,3.948,4.951,3.912,4.358,4.971,4.423,4.399,4.545,4.934,5.322,5.437,7.523,5.132,5.237,5.843,5.721,5.099,4.829,0.951,5.406,5.207,4.066,1.654,0.994,1.264,2.193,1.316,1.299,1.53,3.444,5.138,4.758,4.39,4.302,4.456,4.44,2.542,2.978,2.829,2.976,2.764,2.787,2.835,3.876,4.859,6.081,7.454,4.379,4.95,5.605,8.647,7.292,6.094,5.053,7.95,7.315,6.713,4.788,5.046,4.715,5.225,4.922,4.853,4.946,4.341,4.286,4.431,3.481,4.309,4.349,4.124,4.061,1.764,5.178,5.392,2.984,3.729,4.18,5.825,8.503,6.493,7.787,7.082,6.867,7.084,7.995,9.038,,,8.529,,
"D.21-D.31---Impuestos sobre los productos, netos",NA,NA,NA,NA,NA,NA,NA,14.141,10.264,12.458,23.937,12.156,12.227,15.193,-7.206,26.03,31.266,45.931,8.282,15.711,23.976,54.915,17.307,23.308,6.275,34.683,30.603,22.931,28.448,29.865,29.252,40.658,29.138,29.285,32.517,27.774,34.933,32.522,26.868,31.365,31.648,29.96,29.204,21.644,15.264,9.69,25.306,21.768,18.351,5.743,3.281,0.206,2.512,4.519,3.031,2.844,6.313,5.072,14.121,23.073,5.712,8.472,12.08,14.109,17.204,6.736,-2.736,15.591,12.554,8.412,6.65,-2.523,3.481,-4.288,1.967,2.464,0.709,-3.369,-1.056,-10.559,-3.482,-2.237,-5.016,-4.62,-3.516,-5.497,2.193,0.473,-4.508,-2.389,-1.684,-3.307,-2.65,-8.965,-9.029,-2.975,-4.943,-5.979,8.08,4.009,6.665,11.23,6.09,6.255,7.475,-25.731,-33.145,-37.56,-24.601,-29.386,-31.959,-30.126,67.781,90.32,93.703,38.293,78.501,82.632,70.219,-4.258,-10.428,8.966,21.481,-7.397,-2.223,3.275,-1.074,-15.972,-20.13,-6.042,-7.965,-12.173,-10.514,-19.431,-5.524,19.232,-12.307,-13.42,-3.179,-5.759,41.83,25.164,19.912,34.982,33.948,28.555,30.222,25.11,56.653,27.929,32.216,38.837,34.89,34.197,17.803,16.173,13.251,2.767,16.966,15.68,12.16,2.608,12.719,14.727,7.327,7.541,9.981,9.33,-6.471,-6.524,-2.678,-13.133,-6.497,-5.182,-7.051,14.209,4.586,-9.161,8.868,9.319,2.683,4.058,5.165,7.454,13.943,13.555,6.35,8.779,9.93,18.619,6.779,22.368,24.062,13.982,16.743,18.491,5.247,7.638,-2.541,-14.228,5.166,2.466,-1.939,-15.348,-15.412,,,-15.409,,
B.1bV---Valor agregado bruto<C1>,NA,NA,NA,NA,NA,NA,NA,7.232,8.018,8.526,10.011,7.648,7.948,8.493,23.619,39.467,43.898,49.295,31.437,35.6,39.205,38.286,25.149,23.263,21.777,31.435,28.567,26.704,20.509,18.517,17.827,16.138,19.517,18.943,18.166,14.782,14.483,15.244,14.857,14.598,14.801,14.76,15.491,16.585,16.642,15.087,16.05,16.262,15.96,14.156,12.166,10.799,9.774,13.136,12.325,11.637,8.183,6.83,5.179,2.943,7.491,6.697,5.729,2.797,5.109,6.04,7.263,3.996,4.688,5.34,7.552,3.684,2.341,3.569,5.542,4.448,4.222,4.503,8.669,10.795,10.402,6.614,8.001,8.622,8.289,6.229,5.704,4.816,7.231,6.716,6.221,5.928,7.447,7.407,6.922,6.703,6.94,6.931,5.916,4.716,5.031,7.178,5.296,5.208,5.722,8.055,9.563,8.679,4.461,8.841,8.782,7.647,2.81,0.972,0.838,4.205,1.843,1.51,2.207,5.415,4.545,4.166,4.349,4.976,4.698,4.601,5.204,6.138,6.533,8.108,5.679,5.971,6.537,6.783,5.379,4.36,1.422,6.065,5.482,4.396,0.382,0.352,0.587,1.16,0.367,0.44,0.626,2.435,3.421,3.73,3.156,2.937,3.203,3.192,1.681,2.27,2.21,2.923,1.98,2.06,2.282,3.845,4.295,5.406,7.406,4.076,4.522,5.279,9.638,8.175,6.695,6.165,8.885,8.139,7.61,4.203,5.079,5.623,5.027,4.652,4.977,4.984,4.259,4.102,3.895,2.95,4.172,4.079,3.783,3.196,1.559,4.292,4.458,2.391,3.04,3.433,6.016,8.574,7.016,9.164,7.287,7.178,7.668,9.566,10.468,,,10.031,,
Actividades primarias,NA,NA,NA,NA,NA,NA,NA,3.473,3.978,3.824,1.884,3.742,3.764,3.241,7.842,16.565,25.207,37.383,12.324,16.661,22.628,45.632,48.9,45.239,36.601,47.164,46.218,43.05,25.46,16.186,15.091,9.866,20.607,18.665,15.999,8.345,8.507,9.03,13.796,8.395,8.676,10.063,12.016,5.182,1.483,-1.126,8.665,6.298,4.187,-2.219,4.296,8.77,7.575,0.867,3.178,4.395,5.194,2.985,1.354,0.994,4.113,3.329,2.666,1.027,1.461,2.411,4.895,1.239,1.597,2.518,6.548,6.173,3.893,3.693,6.355,5.576,5.036,8.58,5.912,9.675,8.319,7.229,7.913,8.047,3.024,7.932,4.532,-0.968,5.454,5.266,3.461,4.466,1.147,1.285,10.856,2.783,2.259,4.693,8.193,7.323,8.292,6.3,7.744,7.908,7.397,5.881,8.21,4.121,7.822,7.1,6.199,6.714,7.346,5.158,3.373,-1.836,6.181,5.356,3.166,1.938,4.048,7.375,11.979,3.077,4.328,6.483,10.8,10.726,9.063,7.33,10.71,10.209,9.382,4.987,3.468,5.242,3.498,4.198,4.513,4.216,1.057,2.786,-3.412,-2.509,1.994,0.363,-0.504,0.416,0.44,7.129,5.57,0.419,2.372,3.313,6.755,5.899,5.408,6.186,6.284,6.006,6.057,7.864,10.278,9.287,11.042,9.159,9.205,9.77,5.326,7.79,7.69,5.489,6.622,6.936,6.5,8.502,2.444,1.276,5.954,5.234,4.048,4.612,3.437,6.231,6.518,2.312,4.872,5.347,4.417,5.154,6.814,7.245,7.216,5.998,6.383,6.633,5.34,8.791,10.553,15.128,7.253,8.244,10.36,16.66,15.168,,,15.846,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",NA,NA,NA,NA,NA,NA,NA,3.473,3.978,3.824,1.884,3.742,3.764,3.241,7.842,16.565,25.207,37.383,12.324,16.661,22.628,45.632,48.9,45.239,36.601,47.164,46.218,43.05,25.46,16.186,15.091,9.866,20.607,18.665,15.999,8.345,8.507,9.03,13.796,8.395,8.676,10.063,12.016,5.182,1.483,-1.126,8.665,6.298,4.187,-2.219,4.296,8.77,7.575,0.867,3.178,4.395,5.194,2.985,1.354,0.994,4.113,3.329,2.666,1.027,1.461,2.411,4.895,1.239,1.597,2.518,6.548,6.173,3.893,3.693,6.355,5.576,5.036,8.58,5.912,9.675,8.319,7.229,7.913,8.047,3.024,7.932,4.532,-0.968,5.454,5.266,3.461,4.466,1.147,1.285,10.856,2.783,2.259,4.693,8.193,7.323,8.292,6.3,7.744,7.908,7.397,5.881,8.21,4.121,7.822,7.1,6.199,6.714,7.346,5.158,3.373,-1.836,6.181,5.356,3.166,1.938,4.048,7.375,11.979,3.077,4.328,6.483,10.8,10.726,9.063,7.33,10.71,10.209,9.382,4.987,3.468,5.242,3.498,4.198,4.513,4.216,1.057,2.786,-3.412,-2.509,1.994,0.363,-0.504,0.416,0.44,7.129,5.57,0.419,2.372,3.313,6.755,5.899,5.408,6.186,6.284,6.006,6.057,7.864,10.278,9.287,11.042,9.159,9.205,9.77,5.326,7.79,7.69,5.489,6.622,6.936,6.5,8.502,2.444,1.276,5.954,5.234,4.048,4.612,3.437,6.231,6.518,2.312,4.872,5.347,4.417,5.154,6.814,7.245,7.216,5.998,6.383,6.633,5.34,8.791,10.553,15.128,7.253,8.244,10.36,16.66,15.168,,,15.846,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura",NA,NA,NA,NA,NA,NA,NA,2.232,0.561,0.224,-0.626,1.409,0.99,0.518,2.668,9.118,16.65,30.33,5.943,9.498,15.66,37.928,49.151,44.472,33.537,43.487,43.462,40.085,25.69,11.847,9.655,6.943,18.423,15.452,12.785,8.775,10.526,11.036,19.799,9.595,10.142,12.746,16.642,6.278,1.682,-4.625,11.715,8.746,4.875,-8.39,-0.092,5.993,6.33,-4.638,-1.966,0.296,4.46,1.384,0.349,1.252,2.936,2.36,2.083,2.617,4.056,5.203,7.141,3.343,3.828,4.758,5.591,6.124,3.48,3.091,5.875,5.221,4.597,12.383,7.741,7.733,6.456,10.026,9.334,8.484,-2.979,4.542,2.569,-2.406,0.673,1.283,0.182,7.433,3.45,6.86,18.304,5.47,5.744,9.578,15.55,12.852,15.403,11.795,14.143,14.508,13.533,9.772,12.316,8.435,7.757,11.122,10.344,9.59,7.15,6.805,6.497,0.081,6.968,6.829,4.642,5.389,4.831,4.41,14.327,5.111,4.977,7.743,16.488,17.26,17.479,9.014,16.838,17.08,14.56,3.449,1.526,-0.464,-2.091,2.438,1.581,0.405,-5.808,-6.36,-8.423,-4.442,-6.122,-6.74,-6.023,-2.718,-2.083,-0.233,1.615,-2.361,-1.802,-0.733,2.414,5.447,7.408,8.282,4.05,4.941,5.982,14.283,13.058,13.686,13.348,13.622,13.667,13.598,6.925,10.765,11.675,7.099,8.977,9.672,8.843,6.68,1.57,0.666,5.553,3.885,2.986,3.786,6.944,5.648,5.102,2.075,6.276,5.975,4.701,5.668,10.455,9.397,8.368,8.11,8.501,8.467,4.846,10.873,13.41,18.438,8.171,9.577,12.474,20.222,15.534,,,17.627,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales",NA,NA,NA,NA,NA,NA,NA,6.36,9.544,9.825,6.171,8.025,8.697,8.033,17.044,31.416,35.508,52.212,24.649,28.59,35.068,64.996,53.998,52.516,49.719,58.792,56.259,54.16,30.249,25.729,21.454,11.456,27.829,25.528,21.384,5.74,2.516,5.28,2.744,4.063,4.504,4.02,2.252,0.858,-1.736,2.096,1.556,0.351,0.823,6.313,11.69,10.061,7.255,9.004,9.38,8.798,3.044,3.84,2.362,1.604,3.469,3.075,2.68,-0.209,-4.156,-1.771,0.416,-2.258,-2.089,-1.425,5.916,7.24,5.301,6.65,6.592,6.14,6.27,8.99,7.179,14.164,13.575,8.067,10.184,11.101,10.955,11.808,7.585,-0.529,11.383,10.022,7.112,0.881,-0.937,-4.961,1.87,-0.039,-1.753,-0.829,-4.176,-1.562,0.617,-4.644,-2.863,-1.691,-2.46,0.813,1.662,0.415,9.816,1.252,0.956,3.229,8.304,3.834,1.449,-3.347,5.997,4.392,2.291,-0.486,2.902,11.603,7.926,1.227,4.75,5.562,1.299,1.631,-1.661,5.294,1.466,0.345,1.642,9.367,6.518,15.63,16.91,7.903,10.587,12.266,15.151,25.772,2.875,1.136,20.521,14.121,10.492,6.321,5.805,19.493,16.045,6.075,10.456,11.896,15.792,6.734,2.546,2.396,10.998,7.997,6.499,-1.629,6.176,4.3,6.681,2.336,3.003,3.948,1.615,2.005,2.527,1.521,1.822,2.051,1.91,13.49,4.895,2.26,6.713,8.953,6.644,6.663,-4.826,6.372,7.537,1.732,0.865,3.074,2.713,4.108,-1.08,3.902,4.858,1.32,2.219,2.921,6.179,5.161,7.257,7.495,5.656,6.222,6.568,10.107,14.364,,,12.326,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113---Aprovechamiento forestal",NA,NA,NA,NA,NA,NA,NA,3.95,3.175,-0.627,-2.481,3.577,2.149,0.919,6.868,14.575,25.512,41.93,10.773,15.738,22.624,42.882,39.305,31.246,15.734,40.783,37.291,30.755,10.397,11.39,12.665,22.594,11.019,11.579,14.617,20.143,16.386,22.384,12.957,18.247,19.786,17.788,15.968,13.857,7.337,12.926,14.892,12.109,12.162,6.727,9.018,12.658,17.475,7.811,9.38,11.511,21.472,19.446,12.269,4.583,20.53,17.727,14.139,1.355,3.879,5.865,5.457,2.698,3.749,4.175,6.888,-0.316,-0.54,-0.944,3.219,2.015,1.258,-3.385,-1.304,5.637,5.871,-2.435,0.098,1.641,9.301,8.128,4.278,-1.953,8.665,7.221,4.484,1.905,4.539,1.048,5.397,3.259,2.51,3.432,4.224,1.655,3.296,4.672,2.984,3.09,3.505,2.854,2.822,-2.603,2.979,2.717,1.056,1.546,3.49,-3.924,-5.752,-14.13,-0.12,-1.921,-5.032,-12.452,2.062,6.83,13.938,-5.377,-1.744,1.935,8.107,2.209,4.143,-1.912,4.902,4.655,2.802,-4.574,-1.879,0.898,3.463,-3.114,-1.84,-0.428,3.126,-0.637,-0.777,-1.789,1.07,0.463,-0.138,2.411,4.164,3.65,3.628,3.335,3.456,3.503,1.155,1.839,3.095,3.893,1.497,1.986,2.476,4.289,2.82,2.975,4.106,3.531,3.429,3.646,4.397,4.247,3.222,0.839,4.319,3.916,3.07,1.282,0.598,0.674,5.565,0.929,0.849,2.067,3.281,3.204,3.151,-0.239,3.245,3.206,2.282,1.696,4.507,6.081,6.884,3.02,4.08,4.858,5.671,3.737,3.365,5.819,4.784,4.238,4.582,12.261,16.829,,,14.629,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura",NA,NA,NA,NA,NA,NA,NA,6.143,10.018,8.003,10.526,8.164,8.131,8.682,23.909,30.185,32.742,36.961,26.966,29.214,31.42,29.905,20.073,19.961,14.453,24.751,22.85,20.407,9.054,17.039,17.831,27.682,13.36,14.978,18.268,20.241,24.251,23.694,20.111,22.453,22.856,22.311,16.106,9.83,7.783,6.517,12.265,10.775,9.47,9,7.769,9.788,13.172,8.415,8.962,10.223,6.749,2.09,0.583,-2.21,4.449,2.957,1.375,1.939,3.952,6.342,9.704,3.1,4.255,5.912,9.991,12.368,1.784,-8.676,11.145,7.498,2.385,-14.615,-19.583,-5.609,2.174,-17.29,-12.977,-8.664,16.772,12.612,8.891,4.044,14.482,12.315,9.736,-8.217,-7.389,-5.741,7.357,-7.718,-6.923,-2.949,18.381,19.247,13.421,0.964,18.939,16.732,11.78,-2.295,-4.447,-7.099,3.665,-3.697,-4.919,-2.353,7.608,3.222,-0.976,-7.358,5.627,3.314,-0.047,-14.663,-6.37,-3.105,-5.588,-10.52,-7.973,-7.206,-0.693,1.814,6.852,10.307,0.747,2.944,5.105,5.525,3.826,-1.064,-2.815,4.547,2.376,0.715,3.293,5.151,6.916,6.758,4.301,5.257,5.709,-2.647,-8.032,-7.128,-5.841,-5.596,-6.173,-6.078,3.724,13.038,11.614,6.196,8.059,9.272,8.294,1.731,11.053,11.477,13.013,7.024,8.712,10.055,15.92,9.272,6.88,10.039,12.154,10.19,10.155,5.046,-0.444,2.093,9.446,2.397,2.279,4.216,17.909,23.467,24.888,20.796,20.89,22.389,22.059,14.446,12.89,9.863,5.84,13.142,11.804,9.956,7.53,4.104,7.885,10.775,5.918,6.655,7.771,12.014,11.549,,,11.743,,
"Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|115---Servicios relacionados con las actividades agropecuarias y forestales",NA,NA,NA,NA,NA,NA,NA,4.459,1.948,1.866,6.337,3.197,2.778,4.002,26.299,26.912,79.935,66.634,26.534,55.851,60.9,33.872,39.494,3.876,14.638,36.772,15.974,14.281,20.978,14.999,18.865,8.58,17.954,18.15,15.374,9.723,14.31,-0.464,1.03,11.556,5.099,3.482,9.969,13.468,-9.105,-5.255,10.873,2.059,-0.049,9.904,8.794,13.678,21.535,10.062,11.747,14.381,10.932,10.658,3.399,-13.92,10.845,7.286,-0.583,1.212,4.048,39.49,18.194,2.854,16.693,16.787,54.616,39.617,33.848,71.776,47.639,43.063,53.036,-1.256,-2.321,4.609,1.141,-1.758,0.428,0.586,5.025,9.498,0.655,4.209,7.165,4.513,4.415,2.234,3.575,5.498,2.651,2.67,3.898,3.514,9.283,2.204,5.247,5.149,6.034,5.842,5.468,1.314,1.505,1.681,3.138,1.366,1.48,1.985,4.368,-0.348,-3.642,-2.531,2.165,0.178,-0.545,-8.058,2.238,7.408,10.877,-3.357,0.019,3.749,16.041,6.748,5.122,-1.616,11.586,9.416,4.5,-6.511,-3.435,3.9,4.877,-5.085,-1.996,1.141,-0.626,4.533,-2.84,0.807,1.734,0.003,0.297,0.727,0.317,5.822,4.363,0.085,1.484,2.639,5.65,-0.045,-1.658,0.38,3.489,2.145,1.335,2.541,8.276,8.562,7.397,5.497,6.617,7.236,4.462,6.325,6.199,5.16,5.302,5.641,5.683,8.191,2.548,0.863,6.054,5.16,3.648,4.997,2.356,6.529,5.224,1.644,4.232,4.565,2.791,0.571,2.304,6.825,7.202,0.975,2.435,4.576,9.572,9.016,10.462,13.937,10.163,10.577,11.654,13.863,14.552,,,13.528,,
