FECHA,INPP
01-01-03,
01-02-03,
01-03-03,
01-04-03,
01-05-03,
01-06-03,
01-07-03,
01-08-03,
01-09-03,
01-10-03,
01-11-03,
01-12-03,48.57324145
01-01-04,48.88945325
01-02-04,49.47864667
01-03-04,50.01683819
01-04-04,50.49674181
01-05-04,50.75029413
01-06-04,51.10730746
01-07-04,51.37106016
01-08-04,51.66152814
01-09-04,51.81307665
01-10-04,52.02679892
01-11-04,52.40907033
01-12-04,52.51301706
01-01-05,52.67476596
01-02-05,52.86954466
01-03-05,53.06918068
01-04-05,53.18672792
01-05-05,53.20129989
01-06-05,53.19012805
01-07-05,53.56025615
01-08-05,53.55734175
01-09-05,53.66760301
01-10-05,53.93184145
01-11-05,54.13730626
01-12-05,54.35685731
01-01-06,54.74252885
01-02-06,54.95090805
01-03-06,55.17968802
01-04-06,55.64453394
01-05-06,56.27307168
01-06-06,56.6329994
01-07-06,56.94532535
01-08-06,57.1784769
01-09-06,57.34751178
01-10-06,57.25279396
01-11-06,57.41697152
01-12-06,57.6204934
01-01-07,57.75601275
01-02-07,58.03336595
01-03-07,58.27671789
01-04-07,58.47878258
01-05-07,58.55309964
01-06-07,58.81490941
01-07-07,59.05583269
01-08-07,59.25886884
01-09-07,59.43276104
01-10-07,59.57313771
01-11-07,59.86749155
01-12-07,60.02001153
01-01-08,60.43094115
01-02-08,61.03664947
01-03-08,61.70210288
01-04-08,62.16403441
01-05-08,62.64539523
01-06-08,63.1199558
01-07-08,63.66009024
01-08-08,63.6129742
01-09-08,63.90247072
01-10-08,64.84187721
01-11-08,65.09105794
01-12-08,65.1804327
01-01-09,65.19500467
01-02-09,65.54716067
01-03-09,65.91291718
01-04-09,65.59233379
01-05-09,65.28729383
01-06-09,65.46410043
01-07-09,65.67879416
01-08-09,65.86240101
01-09-09,66.35201928
01-10-09,66.4316794
01-11-09,66.78577833
01-12-09,67.08304657
01-01-10,67.57557924
01-02-10,67.94036428
01-03-10,68.36878027
01-04-10,68.19440233
01-05-10,68.46106943
01-06-10,68.55821591
01-07-10,68.91377204
01-08-10,68.95943089
01-09-10,69.08669278
01-10-10,69.13575175
01-11-10,69.39707579
01-12-10,69.91972387
01-01-11,70.29130917
01-02-11,70.76052668
01-03-11,71.21662942
01-04-11,71.54692746
01-05-11,71.55664211
01-06-11,71.85148168
01-07-11,72.34109996
01-08-11,72.56939419
01-09-11,73.01918241
01-10-11,73.55348806
01-11-11,74.10430862
01-12-11,74.75324713
01-01-12,75.00922811
01-02-12,74.97328391
01-03-12,75.18506324
01-04-12,75.24043674
01-05-12,75.52993326
01-06-12,75.91900492
01-07-12,75.76399834
01-08-12,75.75006376
01-09-12,76.03309626
01-10-12,76.01804395
01-11-12,76.21173241
01-12-12,76.13137325
01-01-13,76.23048919
01-02-13,76.51930513
01-03-13,76.70526901
01-04-13,76.51598533
01-05-13,76.46770537
01-06-13,76.76704762
01-07-13,76.4995919
01-08-13,76.44493291
01-09-13,76.7913954
01-10-13,76.8062443
01-11-13,77.04307492
01-12-13,77.37301577
01-01-14,77.78780917
01-02-14,78.32939814
01-03-14,78.39087703
01-04-14,78.42886056
01-05-14,78.64218739
01-06-14,78.32501386
01-07-14,78.66018649
01-08-14,78.96627984
01-09-14,79.08376508
01-10-14,79.02285944
01-11-14,79.131305
01-12-14,79.95723695
01-01-15,79.77764781
01-02-15,79.84285071
01-03-15,80.46106097
01-04-15,80.59653703
01-05-15,80.4862108
01-06-15,80.80912628
01-07-15,81.26615893
01-08-15,81.52989052
01-09-15,81.82901562
01-10-15,81.76321371
01-11-15,81.86814087
01-12-15,82.17686806
01-01-16,82.89563076
01-02-16,83.6442674
01-03-16,83.70332068
01-04-16,83.9183144
01-05-16,84.52926852
01-06-16,85.335477
01-07-16,85.7374407
01-08-16,86.01712936
01-09-16,87.06706017
01-10-16,87.24420596
01-11-16,88.31194674
01-12-16,89.17550682
01-01-17,91.02772041
01-02-17,91.55769558
01-03-17,91.61013836
01-04-17,91.25726495
01-05-17,91.37435197
01-06-17,91.04097714
01-07-17,90.81177831
01-08-17,90.86425196
01-09-17,90.9883472
01-10-17,91.84214282
01-11-17,92.89509712
01-12-17,93.32364867
01-01-18,94.10833619
01-02-18,94.52818268
01-03-18,94.94861231
01-04-18,94.90924585
01-05-18,96.31795876
01-06-18,97.3683343
01-07-18,96.72812084
01-08-18,96.66465595
01-09-18,97.23193404
01-10-18,97.59184489
01-11-18,98.94297082
01-12-18,99.31293119
01-01-19,98.782161
01-02-19,98.80322289
01-03-19,98.97996525
01-04-19,99.3001895
01-05-19,99.37872225
01-06-19,99.78640928
01-07-19,100
01-08-19,99.44730485
01-09-19,99.96059296
01-10-19,99.69599632
01-11-19,99.87228103
01-12-19,100.1490462
01-01-20,99.87139899
01-02-20,100.3274536
01-03-20,102.6595764
01-04-20,104.6689496
01-05-20,104.141031
01-06-20,103.4948226
01-07-20,104.4818393
01-08-20,104.8540117
01-09-20,104.4834325
01-10-20,104.5445481
01-11-20,104.2860636
01-12-20,104.2933305
01-01-21,105.1178896
01-02-21,106.2270892
01-03-21,107.6156716
01-04-21,107.9755624
01-05-21,108.7587945
01-06-21,109.5336754
01-07-21,110.0169633
01-08-21,110.4019966
01-09-21,110.77104
01-10-21,111.929447
01-11-21,112.9965382
01-12-21,113.9967857
01-01-22,114.3194917
01-02-22,115.4664699
01-03-22,116.8605125
01-04-22,117.6542931
01-05-22,118.4887966
01-06-22,119.3153419
01-07-22,119.9896522
01-08-22,120.1189068
01-09-22,120.0474712
