Fecha,TIIE,mes,Año
31-01-06,7.8,1,2006
28-02-06,7.56,2,2006
31-03-06,7.28,3,2006
28-04-06,7.05,4,2006
31-05-06,7.03,5,2006
30-06-06,7.05,6,2006
31-07-06,7.05,7,2006
31-08-06,7.05,8,2006
29-09-06,7.15,9,2006
31-10-06,7.15,10,2006
30-11-06,7.15,11,2006
29-12-06,7.05,12,2006
31-01-07,7.02,1,2007
28-02-07,7.17,2,2007
30-03-07,7.09,3,2007
30-04-07,7.33,4,2007
31-05-07,7.35,5,2007
29-06-07,7.32,6,2007
31-07-07,7.35,7,2007
31-08-07,7.31,8,2007
28-09-07,7.28,9,2007
31-10-07,7.46,10,2007
30-11-07,7.52,11,2007
31-12-07,7.68,12,2007
31-01-08,7.55,1,2008
29-02-08,7.53,2,2008
31-03-08,7.52,3,2008
30-04-08,7.52,4,2008
30-05-08,7.52,5,2008
30-06-08,7.8,6,2008
31-07-08,8.05,7,2008
29-08-08,8.27,8,2008
30-09-08,8.28,9,2008
31-10-08,8,10,2008
28-11-08,8.13,11,2008
31-12-08,8.35,12,2008
30-01-09,7.75,1,2009
27-02-09,7.54,2,2009
31-03-09,6.79,3,2009
30-04-09,6.03,4,2009
29-05-09,5.29,5,2009
30-06-09,4.85,6,2009
31-07-09,4.58,7,2009
31-08-09,4.53,8,2009
30-09-09,4.65,9,2009
30-10-09,4.58,10,2009
30-11-09,4.56,11,2009
31-12-09,4.7,12,2009
29-01-10,4.73,1,2010
26-02-10,4.56,2,2010
31-03-10,4.59,3,2010
30-04-10,4.68,4,2010
31-05-10,4.6,5,2010
30-06-10,4.64,6,2010
30-07-10,4.6,7,2010
31-08-10,4.58,8,2010
30-09-10,4.58,9,2010
29-10-10,4.55,10,2010
30-11-10,4.6,11,2010
31-12-10,4.58,12,2010
31-01-11,4.56,1,2011
28-02-11,4.51,2,2011
31-03-11,4.5,3,2011
29-04-11,4.51,4,2011
31-05-11,4.49,5,2011
30-06-11,4.53,6,2011
29-07-11,4.46,7,2011
31-08-11,4.37,8,2011
30-09-11,4.39,9,2011
31-10-11,4.42,10,2011
30-11-11,4.6,11,2011
30-12-11,4.52,12,2011
31-01-12,4.53,1,2012
29-02-12,4.51,2,2012
30-03-12,4.52,3,2012
30-04-12,4.52,4,2012
31-05-12,4.5,5,2012
29-06-12,4.48,6,2012
31-07-12,4.5,7,2012
31-08-12,4.52,8,2012
28-09-12,4.52,9,2012
31-10-12,4.52,10,2012
30-11-12,4.51,11,2012
31-12-12,4.52,12,2012
31-01-13,4.49,1,2013
28-02-13,4.51,2,2013
27-03-13,4.07,3,2013
30-04-13,4.06,4,2013
31-05-13,4.06,5,2013
28-06-13,4.04,6,2013
31-07-13,4.02,7,2013
30-08-13,4.02,8,2013
30-09-13,3.81,9,2013
31-10-13,3.59,10,2013
29-11-13,3.62,11,2013
31-12-13,3.71,12,2013
31-01-14,3.53,1,2014
28-02-14,3.61,2,2014
31-03-14,3.55,3,2014
30-04-14,3.56,4,2014
30-05-14,3.57,5,2014
30-06-14,3.09,6,2014
31-07-14,3.07,7,2014
29-08-14,3.1,8,2014
30-09-14,3.07,9,2014
31-10-14,3.08,10,2014
28-11-14,3.05,11,2014
31-12-14,3.23,12,2014
30-01-15,3.07,1,2015
27-02-15,3.09,2,2015
31-03-15,3.13,3,2015
30-04-15,3.07,4,2015
29-05-15,3.1,5,2015
30-06-15,3.3,6,2015
31-07-15,3.2,7,2015
31-08-15,3.17,8,2015
30-09-15,3.08,9,2015
30-10-15,3.19,10,2015
30-11-15,3.13,11,2015
31-12-15,3.38,12,2015
29-01-16,3.38,1,2016
29-02-16,3.93,2,2016
31-03-16,3.82,3,2016
29-04-16,3.98,4,2016
31-05-16,4,5,2016
30-06-16,3.94,6,2016
29-07-16,4.36,7,2016
31-08-16,4.33,8,2016
30-09-16,4.9,9,2016
31-10-16,4.83,10,2016
30-11-16,5.3,11,2016
