Fecha,Ultimo dia mes,dias,UDI,Año,MES,acum por mes,Promedio,,
01-04-95,1 ,27,1.064075,1995,4,27.780927,1.0289,,
01-05-95,1 ,31,1.13227,1995,5,34.283574,1.1059,,
01-06-95,1 ,30,1.174069,1995,6,34.639439,1.1546,,
01-07-95,1 ,31,1.206409,1995,7,36.962013,1.1923,,
01-08-95,1 ,31,1.227619,1995,8,37.747348,1.2177,,
01-09-95,1 ,30,1.248587,1995,9,37.135614,1.2379,,
01-10-95,1 ,31,1.275458,1995,10,39.157232,1.2631,,
01-11-95,1 ,30,1.302992,1995,11,38.671338,1.2890,,
01-12-95,1 ,31,1.337837,1995,12,40.946799,1.3209,,
01-01-96,1 ,31,1.389876,1996,1,42.26227,1.3633,,
01-02-96,1 ,29,1.42777,1996,2,40.920537,1.4111,,
01-03-96,1 ,31,1.460946,1996,3,44.8187,1.4458,,
01-04-96,1 ,30,1.497044,1996,4,44.332183,1.4777,,
01-05-96,1 ,31,1.533837,1996,5,47.087254,1.5189,,
01-06-96,1 ,30,1.560144,1996,6,46.425836,1.5475,,
01-07-96,1 ,31,1.584312,1996,7,48.768908,1.5732,,
01-08-96,1 ,31,1.606509,1996,8,49.470383,1.5958,,
01-09-96,1 ,30,1.628236,1996,9,48.510837,1.6170,,
01-10-96,1 ,31,1.652871,1996,10,50.915137,1.6424,,
01-11-96,1 ,30,1.673885,1996,11,49.900443,1.6633,,
01-12-96,1 ,31,1.710514,1996,12,52.371454,1.6894,,
01-01-97,1 ,31,1.762731,1997,1,53.958126,1.7406,,
01-02-97,1 ,28,1.800751,1997,2,49.961023,1.7843,,
01-03-97,1 ,31,1.828903,1997,3,56.324428,1.8169,,
01-04-97,1 ,30,1.849918,1997,4,55.198692,1.8400,,
01-05-97,1 ,31,1.868847,1997,5,57.666638,1.8602,,
01-06-97,1 ,30,1.885098,1997,6,56.316665,1.8772,,
01-07-97,1 ,31,1.902075,1997,7,58.716198,1.8941,,
01-08-97,1 ,31,1.918528,1997,8,59.229925,1.9106,,
01-09-97,1 ,30,1.938157,1997,9,57.827176,1.9276,,
01-10-97,1 ,31,1.959012,1997,10,60.47848,1.9509,,
01-11-97,1 ,30,1.976046,1997,11,59.016821,1.9672,,
01-12-97,1 ,31,2.000294,1997,12,61.655866,1.9889,,
01-01-98,1 ,31,2.036349,1998,1,62.524829,2.0169,,
01-02-98,1 ,28,2.075476,1998,2,57.614678,2.0577,,
01-03-98,1 ,31,2.108624,1998,3,64.962304,2.0956,,
01-04-98,1 ,30,2.130922,1998,4,63.626474,2.1209,,
01-05-98,1 ,31,2.149782,1998,5,66.379983,2.1413,,
01-06-98,1 ,30,2.169382,1998,6,64.758707,2.1586,,
01-07-98,1 ,31,2.194087,1998,7,67.686804,2.1834,,
01-08-98,1 ,31,2.214828,1998,8,68.355451,2.2050,,
01-09-98,1 ,30,2.239569,1998,9,66.785431,2.2262,,
