fecha,tasa_cetes,inflacion,pib,tc,td
"01/12/2000	",17.05,8.96,3.573,9.6098,NULL
"01/01/2001	",17.89,8.11,2.568,9.6828,NULL
"01/02/2001	",17.34,7.09,1.564,9.7025,NULL
"01/03/2001	",15.8,7.17,0.559,9.4933,NULL
"01/04/2001	",14.96,7.11,0.306,9.2537,NULL
"01/05/2001	",11.95,6.95,0.053,9.1835,NULL
"01/06/2001	",9.43,6.57,-0.2,9.0708,NULL
"01/07/2001	",9.39,5.88,-0.52,9.1408,NULL
"01/08/2001	",7.51,5.93,-0.84,9.2,NULL
"01/09/2001	",9.32,6.14,-1.16,9.5098,NULL
"01/10/2001	",8.36,5.89,-1.033,9.2542,NULL
"01/11/2001	",7.43,5.39,-0.907,9.2681,NULL
"01/12/2001	",6.29,4.4,-0.78,9.1695,NULL
"01/01/2002	",6.97,4.79,-1.51,9.1463,NULL
"01/02/2002	",7.91,4.79,-2.24,9.1303,NULL
"01/03/2002	",7.23,4.66,-2.97,9.016,NULL
"01/04/2002	",5.76,4.7,-1.608,9.372,NULL
"01/05/2002	",6.61,4.68,-0.245,9.6562,NULL
"01/06/2002	",7.3,4.94,1.117,9.9568,NULL
"01/07/2002	",7.38,5.51,0.829,9.7861,NULL
"01/08/2002	",6.68,5.29,0.541,9.9109,NULL
"01/09/2002	",7.34,4.95,0.253,10.2299,NULL
"01/10/2002	",7.66,4.94,0.641,10.1552,NULL
"01/11/2002	",7.3,5.39,1.028,10.1465,NULL
"01/12/2002	",6.88,5.7,1.416,10.4393,NULL
"01/01/2003	",8.27,5.16,1.985,10.9069,NULL
"01/02/2003	",9.04,5.52,2.554,11.0324,NULL
"01/03/2003	",9.17,5.64,3.123,10.7889,NULL
"01/04/2003	",7.86,5.25,2.261,10.3,NULL
"01/05/2003	",5.25,4.7,1.4,10.3377,NULL
"01/06/2003	",5.2,4.27,0.538,10.437,NULL
"01/07/2003	",4.57,4.13,0.527,10.5243,NULL
"01/08/2003	",4.45,4.04,0.515,11.0475,NULL
"01/09/2003	",4.73,4.04,0.504,11.0133,NULL
"01/10/2003	",5.11,3.96,0.901,11.0525,NULL
"01/11/2003	",4.99,3.98,1.297,11.3985,NULL
"01/12/2003	",6.06,3.98,1.694,11.2372,NULL
"01/01/2004	",4.95,4.2,2.299,11.0214,NULL
"01/02/2004	",5.57,4.53,2.904,11.0606,NULL
"01/03/2004	",6.28,4.23,3.509,11.1748,NULL
"01/04/2004	",5.98,4.21,3.729,11.4093,NULL
"01/05/2004	",6.59,4.29,3.948,11.4147,NULL
"01/06/2004	",6.57,4.37,4.168,11.5258,NULL
"01/07/2004	",6.81,4.49,4.022,11.4079,NULL
"01/08/2004	",7.21,4.82,3.877,11.3807,NULL
"01/09/2004	",7.36,5.06,3.731,11.3884,NULL
"01/10/2004	",7.76,5.4,3.906,11.539,NULL
"01/11/2004	",8.2,5.43,4.081,11.2373,NULL
"01/12/2004	",8.5,5.19,4.256,11.1495,NULL
"01/01/2005	",8.6,4.54,3.094,11.2141,3.951
"01/02/2005	",9.15,4.27,1.933,11.0965,3.773
"01/03/2005	",9.41,4.39,0.771,11.1783,3.627
"01/04/2005	",9.63,4.6,1.418,11.0832,3.363
"01/05/2005	",9.75,4.6,2.066,10.916,3.303
"01/06/2005	",9.63,4.33,2.713,10.7752,3.482
"01/07/2005	",9.61,4.47,2.662,10.6057,3.923
"01/08/2005	",9.6,3.95,2.61,10.7995,3.67
"01/09/2005	",9.21,3.51,2.559,10.7907,3.578
"01/10/2005	",8.91,3.05,2.75,10.7857,3.385
"01/11/2005	",8.71,2.91,2.941,10.5793,2.939
"01/12/2005	",8.22,3.33,3.132,10.6344,2.77
"01/01/2006	",7.88,3.94,3.968,10.4433,3.477
"01/02/2006	",7.61,3.75,4.804,10.456,3.745
"01/03/2006	",7.37,3.41,5.64,10.8935,3.311
"01/04/2006	",7.17,3.2,5.168,11.0903,3.195
"01/05/2006	",7.02,3,4.695,11.2966,2.839
"01/06/2006	",7.02,3.18,4.223,11.2723,3.258
"01/07/2006	",7.03,3.06,4.396,10.9181,4.007
"01/08/2006	",7.03,3.47,4.57,10.9037,3.872
"01/09/2006	",7.06,4.09,4.743,10.9935,3.995
"01/10/2006	",7.05,4.29,4.314,10.764,3.817
"01/11/2006	",7.04,4.09,3.885,10.9975,3.502
"01/12/2006	",7.04,4.05,3.456,10.8116,3.316
"01/01/2007	",7.04,3.98,2.979,11.0382,4.046
"01/02/2007	",7.04,4.11,2.503,11.1682,4.051
"01/03/2007	",7.04,4.21,2.026,11.0322,3.726
"01/04/2007	",7.01,3.99,2.015,10.9278,3.513
"01/05/2007	",7.24,3.95,2.003,10.7445,3.15
"01/06/2007	",7.2,3.98,1.992,10.7946,3.281
"01/07/2007	",7.19,4.14,2.13,10.9273,3.79
"01/08/2007	",7.2,4.03,2.269,11.0378,3.831
"01/09/2007	",7.21,3.79,2.407,10.9315,3.761
"01/10/2007	",7.2,3.74,2.515,10.7023,3.771
"01/11/2007	",7.44,3.93,2.622,10.8968,3.354
"01/12/2007	",7.44,3.76,2.73,10.9157,3.106
"01/01/2008	",7.42,3.7,2.213,10.8262,4.117
"01/02/2008	",7.43,3.72,1.696,10.7243,3.888
"01/03/2008	",7.43,4.25,1.179,10.6482,3.614
"01/04/2008	",7.44,4.55,1.66,10.5095,3.479
"01/05/2008	",7.44,4.95,2.14,10.3306,3.294
"01/06/2008	",7.56,5.26,2.621,10.3069,3.367
"01/07/2008	",7.93,5.39,2.19,10.0353,4.133
"01/08/2008	",8.18,5.57,1.758,10.2847,4.056
"01/09/2008	",8.17,5.47,1.327,10.9814,4.14
"01/10/2008	",7.74,5.78,0.711,12.7125,4.171
"01/11/2008	",7.43,6.23,0.096,13.3225,4.322
"01/12/2008	",8.02,6.53,-0.52,13.8325,4.024
"01/01/2009	",7.59,6.28,-2.203,14.3097,5.009
"01/02/2009	",7.12,6.2,-3.887,15.0698,5.238
"01/03/2009	",7.03,6.04,-5.57,14.1517,4.664
"01/04/2009	",6.05,6.17,-6.687,13.8443,5.055
"01/05/2009	",5.29,5.98,-7.803,13.1667,5.231
"01/06/2009	",4.98,5.74,-8.92,13.1722,4.975
"01/07/2009	",4.59,5.44,-7.61,13.2125,5.821
"01/08/2009	",4.49,5.08,-6.3,13.314,6.145
